year,city,number_of_self_employees,number_of_employees,employees_average_monthly_wage,employees_average_monthly_wage_change_in_percent,self_employees_average_monthly_wage,self_employees_average_monthly_wage_change_in_percent
2019,ג'ת,347,2960,8069.11,3.93,8540.55,1.73
2019,דאלית אל-כרמל,1108,9672,8106.3,0.86,8076.78,0.09
2019,דבורייה,511,4664,7037.56,0.14,9065.55,-6.24
2019,דייר אל-אסד,315,3404,7697.75,8.97,9966.83,6.41
2019,דייר חנא,366,4910,6896.15,1.86,8727.62,-0.07
2019,דימונה,835,19341,9563.13,1.52,9706.25,2.52
2019,הוד השרון,3632,28596,13867.6,2.09,13441.11,2.0
2019,הר אדר,225,1897,13956.9,-3.04,14682.12,-4.45
2019,הרצלייה,5978,45920,12760.05,3.46,12581.19,3.34
2019,זכרון יעקב,1287,10388,13301.36,-0.61,11749.29,2.32
2019,זמר,347,2983,7133.98,2.0,8180.14,-0.59
2019,זרזיר,177,3687,6512.98,1.17,9997.61,7.07
2019,חדרה,4157,48802,9439.26,2.51,9712.55,0.6
2019,חולון,9984,96404,10046.35,3.2,10748.69,2.53
2019,חורה,273,5382,6088.76,-2.6,11015.72,17.56
2019,חורפיש,278,2809,8486.62,-0.7,6947.71,17.39
2019,חיפה,11621,137442,10798.16,2.96,11029.11,-0.47
2019,חצבה,446,5278,11100.11,1.26,10145.67,-2.35
2019,חצור הגלילית,352,5046,7823.19,1.98,8460.28,-4.11
2019,חריש,376,4473,9224.82,-0.59,8395.07,-6.16
2019,טבריה,1742,22350,7508.23,5.68,8512.48,4.43
2019,טובא-זנגרייה,151,3008,6124.82,-1.14,9031.91,-8.31
2019,טורעאן,652,5665,6393.03,0.97,10839.02,-8.38
2019,טייבה,1763,19364,6533.4,3.63,8478.28,0.14
2019,טירה,1163,11392,6984.08,1.04,8720.55,0.44
2019,טירת כרמל,750,11760,9024.84,5.86,8893.37,-3.19
2019,טמרה,1177,14717,6122.47,1.59,9353.4,-2.74
2019,יאנוח-ג'ת,204,3093,7991.74,1.86,7102.5,-0.58
2019,יבנאל,208,1481,7167.92,2.69,7360.1,-1.67
2019,יבנה,1944,23260,10496.54,3.43,11591.36,1.66
2019,יהוד,1645,15374,11837.49,2.9,12343.53,0.16
2019,יסוד המעלה,176,2449,10914.55,0.73,12796.62,-6.24
2019,יפיע,695,8210,6442.32,2.09,9490.9,1.73
2019,יקנעם עילית,699,11956,11690.85,2.87,11418.72,-1.49
2019,ירוחם,213,5090,8686.85,2.81,8920.95,2.86
2019,ירושלים,27472,331224,7990.49,2.82,9618.77,0.35
2019,ירכא,709,7149,7084.69,1.25,8040.71,-7.73
2019,כאבול,407,5172,6669.41,1.65,7816.33,-0.13
2019,כאוכב אבו אל-היג'א,120,1466,7426.09,3.67,7410.32,-11.26
2019,כוכב יאיר,716,5843,13721.87,1.2,14559.47,-2.12
2019,כסיפה,144,4982,6198.66,0.95,10762.61,13.57
2019,כסרא-סמיע,289,3690,8243.97,2.57,6726.08,-7.19
2019,כעביה-טבאש-חג'אג'רה,120,2394,6668.37,2.38,7325.77,-14.87
2019,כפר ברא,180,1563,6887.62,3.16,10032.21,5.49
2019,כפר גלעדי,816,9885,9653.99,2.92,10901.17,2.26
2019,כפר ורדים,336,2833,13490.73,0.91,9758.0,-0.1
2019,כפר יאסיף,629,4764,7263.71,0.59,8592.23,0.93
2019,כפר יונה,1231,10873,11320.79,2.64,11976.82,4.79
2019,כפר כמא,133,1670,9045.25,3.09,9562.28,2.71
2019,כפר כנא,796,9233,5824.63,0.15,9256.89,-2.54
2019,כפר מנדא,693,7650,5390.65,0.43,10194.13,4.63
2019,כפר סבא,5513,49314,12686.89,1.92,12260.36,-0.43
2019,כפר קאסם,1059,10295,6392.22,1.07,8338.99,1.66
2019,כפר קרע,823,8917,7506.78,1.19,9286.05,2.52
2019,כפר שמריהו,148,767,16403.42,3.46,17746.87,28.81
2019,כפר תבור,255,2164,12758.01,1.44,13128.45,0.28
2019,כרמיאל,1637,24388,9448.67,2.95,8967.3,-1.91
2019,להבים,249,3353,16035.35,1.46,17340.05,-1.46
2019,לוד,2255,37492,8088.01,4.22,9187.96,1.7
2019,לוזית,1302,4977,10169.04,0.07,9955.4,-2.15
2019,לקיה,173,4327,5947.31,0.04,9789.11,-10.37
2019,מבשרת ציון,1318,12907,12147.89,0.94,12561.41,-0.71
2019,מגאר,888,10043,7065.69,2.1,8512.63,-3.19
2019,מג'ד אל-כרום,810,10924,6141.86,0.1,9098.21,-1.42
2019,מגדל,178,3226,6077.05,0.18,7924.66,-22.13
2019,מגדל העמק,729,13679,8065.23,3.08,8855.71,3.36
2019,מג'דל שמס,863,4718,5573.21,2.03,7824.47,1.4
2019,מודיעין עילית,1173,14467,5092.41,1.71,5868.17,-4.01
2019,מודיעין-מכבים-רעות*,3874,43770,14092.2,1.23,13282.52,-1.42
2019,מזכרת בתיה,443,3452,13397.33,2.47,12445.85,12.35
2019,מזרעה,167,1994,6753.67,0.6,7429.35,-10.24
2019,מטולה,110,943,9523.49,5.51,10704.98,0.91
2019,מיתר,374,4869,15289.65,1.81,13070.84,-5.07
2019,מנחמיה,274,2956,10446.6,0.03,11624.98,-1.07
2019,מסעדה,271,1527,5601.18,1.27,7138.17,-2.59
2019,מעיליא,167,1576,9671.43,1.3,10387.55,-6.87
2019,מעלה אדומים,1209,20374,9957.08,2.81,10434.76,-2.29
2019,מעלה אפרים,44,768,8003.64,3.84,7052.35,-6.82
2019,מעלה עירון,492,6297,6037.92,-0.41,9803.62,3.12
2019,מעלות-תרשיחא,751,11594,8774.8,1.67,9574.36,-2.27
2019,מצפה רמון,200,2711,7769.81,1.56,9664.57,4.53
2019,מרחביה (קיבוץ),250,3537,6869.36,-0.22,9232.25,-7.14
2019,משהד,276,3155,6007.4,0.21,9458.33,-8.88
2019,נהרייה,2276,29907,9912.39,2.55,10994.92,1.87
2019,נוגה,689,3553,9865.47,1.64,8882.05,-4.43
2019,נועם,1880,13278,12543.37,3.67,11526.45,-0.33
2019,נוף הגליל,1291,22440,8107.28,1.89,9345.65,-1.28
2019,נחף,452,5353,6226.32,-0.57,7759.81,0.13
2019,ניר עוז,99,2164,5576.91,1.7,9650.45,-5.52
2019,נס ציונה,2207,22094,13332.96,0.66,13096.98,0.13
2019,נצרת,3356,36034,6959.33,2.52,9595.69,-4.03
2019,נשר,915,12525,11110.01,3.32,10847.47,6.69
2019,נתיבות,1011,16311,7393.7,4.03,9807.3,-1.15
2019,נתניה,9814,103655,9293.14,3.23,10137.89,2.33
2019,סאג'ור,144,2066,7987.95,2.3,6161.46,-2.19
2019,סביון*,253,1776,17104.62,-0.24,16091.84,-5.87
2019,סח'נין,1291,14687,6711.56,1.49,8628.04,-3.95
2019,ע'ג'ר,77,1176,7020.31,1.48,8311.64,18.7
2019,עומר,402,4027,15739.48,-3.06,14222.79,-8.6
2019,עוצם,348,2314,14165.7,1.31,11587.26,-2.85
2019,עיילבון,245,2648,8281.39,1.42,9176.8,2.04
2019,עילוט,255,3070,5809.17,0.25,11325.61,-5.75
2019,עין הוד,66,941,10137.05,1.8,10218.98,-20.61
2019,עין מאהל,332,5837,5646.35,-0.24,7514.45,-8.7
2019,עין קנייא,120,927,6121.08,2.38,6860.52,-3.87
2019,עכו,1674,25456,7907.22,2.34,9746.57,2.27
2019,עמנואל,90,1449,5541.34,4.91,5822.56,14.11
2019,עספיא,418,4446,8509.35,6.13,7275.92,-8.03
2019,עפולה,1718,26295,8450.4,2.47,9626.77,0.67
2019,עראבה,939,10326,6558.36,0.1,10098.81,-0.21
2019,ערד,926,13539,7962.25,-0.72,7826.32,-3.68
2019,ערערה,661,8909,6843.41,0.98,8044.27,-3.1
2019,ערערה-בנגב,157,4822,5924.15,-2.78,10246.82,-11.39
2019,עתלית,101,1753,9579.13,4.12,12128.76,21.58
2019,פוריידיס,454,6156,6400.28,2.63,8431.06,2.22
2019,פסוטה,223,1618,8581.73,1.86,9459.17,-5.44
2019,פקיעין (בוקייעה),365,2597,8086.83,1.56,7702.11,2.64
2019,פרדס חנה-כרכור,2528,18680,10824.85,3.02,10337.8,-2.26
2019,פרדסייה,416,3504,12905.72,2.56,11115.36,-1.58
2019,פתח תקווה,10411,122522,10999.69,2.69,11831.51,3.55
2019,צפת,1191,14790,6750.82,3.88,8167.45,4.36
2019,קדומים,161,2129,9101.69,-2.34,9843.3,-10.6
2019,קדימה-צורן,1334,11192,12692.31,2.44,12930.46,0.04
2019,קלנסווה,880,9807,6808.0,1.47,8845.16,4.21
2019,קצרין,316,3961,7566.94,2.98,9956.11,11.95
2019,קריית אונו,1966,17445,14504.47,1.05,13912.59,2.62
2019,קריית ארבע,179,3531,7167.87,4.71,8464.45,-6.54
2019,קריית אתא,2062,29219,9523.33,3.6,9907.56,1.53
2019,קריית ביאליק,1450,20347,10037.94,2.57,10325.37,0.12
2019,קריית גת,1723,28136,7950.23,3.77,9860.69,0.86
2019,קריית טבעון,1024,7623,12598.1,1.66,10792.63,-1.67
2019,קריית ים,1262,20276,8485.43,2.81,8407.44,-0.5
2019,קריית יערים,192,1695,6692.15,3.73,8930.34,-14.72
2019,קריית מוצקין,1512,22267,10504.19,2.11,10954.21,5.46
2019,קריית מלאכי,819,12168,7396.29,4.95,9620.93,5.49
2019,קריית ענבים,186,3871,9235.5,3.24,9312.67,-4.94
2019,קריית עקרון,525,5946,8869.99,2.84,10314.06,3.59
2019,קריית שמונה,781,12637,8370.9,3.22,9574.72,0.38
2019,קרני שומרון,312,4159,9800.8,3.88,9259.16,2.21
2019,ראמה,413,3865,7972.82,1.11,8076.08,0.23
2019,ראש העין,2498,29013,11269.58,3.93,11079.51,-1.98
2019,ראש פינה,2757,24422,11161.36,2.4,11755.46,0.79
2019,ראשון לציון,12342,132966,11058.81,2.93,11758.47,-0.3
2019,רהט,986,22321,5751.36,1.69,10445.82,-6.34
2019,רחובות,5564,67200,11348.2,3.3,11873.43,5.88
2019,ריינה,612,6894,6323.53,0.5,9294.8,-2.16
2019,רכסים,257,3954,5740.25,1.64,6628.55,-2.73
2019,רמלה,2901,37716,8094.18,3.29,9922.78,0.02
2019,רמת גן,9427,78651,12339.15,4.08,12657.21,1.42
2019,רמת השרון,3155,20446,14348.31,-0.23,14330.95,4.66
2019,רמת ישי,350,3942,13145.61,3.22,12372.52,12.93
2019,רעננה,4786,36620,12925.76,2.46,13019.42,0.86
2019,שבלי - אום אל-גנם,246,2746,6707.98,0.64,10095.43,-0.06
2019,שגב-שלום,102,3209,5532.97,-0.87,9615.59,3.52
2019,שדה דוד,803,7940,10843.92,2.26,11559.56,-1.74
2019,שדה משה,1792,10294,12183.16,-0.27,11642.45,0.3
2019,שדות מיכה,452,3020,13635.12,4.15,12124.78,-1.17
2019,שדרות,843,13761,8424.61,4.1,10708.22,0.15
2019,שוהם,1030,11795,14543.86,1.66,14584.54,-1.87
2019,שחר,464,6160,9445.55,3.05,9634.41,-2.42
2019,שלומי,273,3424,9337.72,4.2,11004.43,-14.04
2019,שעב,227,3049,6097.51,3.98,8150.92,4.95
2019,שפרעם,1463,18800,7105.65,3.25,9125.57,-4.78
2019,תל אביב -יפו,32674,236408,12590.86,0.72,12756.82,-0.31
2019,תל מונד,817,6424,13787.64,1.87,13978.65,1.45
2019,תל שבע,212,5938,5288.02,-0.24,12196.38,-7.73
2018,אבו גוש,157,3327,7271.28,2.25,10385.0,16.01
2018,אבו סנאן,562,5621,6831.89,1.33,8302.72,6.94
2018,אבן יהודה,945,6366,14482.88,0.0,12087.38,-1.34
2018,אום אל-פחם,1845,20519,5851.76,2.73,8516.56,0.1
2018,אופקים,357,3391,10047.43,3.0,10730.33,10.88
2018,אור יהודה,1772,17634,8543.17,2.05,9751.84,0.32
2018,אור עקיבא,785,9868,8248.94,4.08,8441.28,0.03
2018,אורנית,605,4531,13915.11,2.41,11574.72,2.99
2018,אזור,739,6164,9806.46,1.55,11630.1,2.21
2018,אילת,2628,32310,8521.74,2.65,11024.9,2.56
2018,איתן,291,3983,11164.65,0.68,11220.63,-1.05
2018,אכסאל,689,5597,6828.04,1.18,10554.27,2.78
2018,אליכין,327,4756,12725.71,1.21,13196.9,1.11
2018,אלעד,1051,13514,6705.59,1.3,7795.3,3.26
2018,אלפי מנשה,506,4035,12645.69,0.75,11833.27,7.58
2018,אלקנה,163,1757,12224.48,1.57,15394.0,26.44
2018,אעבלין,510,5659,6609.76,1.28,8011.41,5.45
2018,אפרת,394,4855,10800.15,2.19,12864.78,-3.65
2018,אריאל,646,10180,9411.94,3.63,9233.26,5.35
2018,אשבול,1274,8061,9159.35,1.61,8398.6,-2.02
2018,אשדוד,7004,104387,8808.09,2.04,9046.12,-2.1
2018,אשקלון,4962,69761,8557.93,3.04,9088.04,0.63
2018,באקה אל-גרביה,1194,12021,6983.89,3.29,8922.36,0.13
2018,באר יעקב,1207,12488,12017.03,3.05,12356.32,4.61
2018,באר שבע,5324,100890,9136.27,1.48,9575.99,1.4
2018,בועיינה-נוג'ידאת,253,4118,6087.46,2.29,8151.57,-8.29
2018,בוקעאתא,370,2636,5680.2,-0.97,6200.54,-0.97
2018,ביר אל-מכסור,201,3833,6529.68,5.44,8643.92,-2.6
2018,בית אל,131,2424,7528.18,-1.23,8087.72,-1.04
2018,בית אריה,283,2669,11488.27,1.89,11628.7,3.78
2018,בית ג'ן,409,5595,7536.81,3.86,5945.03,-1.8
2018,בית דגן,380,3490,10534.09,0.18,11489.82,6.57
2018,בית ניר,3046,18069,12806.3,1.08,10856.85,1.97
2018,בית שאן,530,9789,7713.69,1.57,9144.47,1.65
2018,בית שמש,2714,36568,7163.27,1.11,8351.84,-2.49
2018,ביתר עילית,975,15374,5373.69,3.96,7131.08,3.6
2018,בני ברק,3663,59129,6223.99,2.28,7902.55,-0.85
2018,"בני עי""ש",199,3756,8241.85,1.69,7274.77,0.99
2018,בנימינה-גבעת עדה*,939,6830,14477.6,1.95,12721.8,5.97
2018,"בסמ""ה",318,4110,6236.52,3.48,7672.63,-3.2
2018,בסמת טבעון,239,3369,6583.85,4.84,8290.14,-1.78
2018,בענה,275,3498,5499.23,2.63,8649.66,4.25
2018,בת ים,5414,65946,7732.19,1.44,8453.68,3.01
2018,בת שלמה,1623,10625,11685.72,2.37,12013.69,-1.73
2018,גבעת זאב,702,7552,8953.35,0.7,9683.89,4.82
2018,גבעת שמואל,1181,11799,13281.64,0.47,14281.49,4.31
2018,גבעתיים,3504,29885,13304.26,0.5,12765.5,1.9
2018,גדות,386,3945,13390.07,1.78,12034.29,13.14
2018,ג'דיידה-מכר,670,9181,6229.07,3.48,8722.17,-4.76
2018,גדרה,1097,12285,12021.25,1.14,11738.79,2.2
2018,ג'ולס,189,3171,8235.71,1.59,5833.75,6.93
2018,ג'לג'וליה,369,4043,5782.65,4.62,7486.68,-1.38
2018,גן יבנה,1062,11878,11794.69,2.31,11173.18,0.87
2018,גן שמואל,1590,18640,10565.65,3.79,10019.73,1.83
2018,גני תקווה,1097,9374,14719.96,1.73,14381.86,0.64
2018,ג'סר א-זרקא,134,6311,5815.87,5.06,7100.28,-2.77
2018,גפן,475,4725,9664.73,1.1,9861.18,4.37
2018,ג'ש (גוש חלב),223,1525,8811.0,3.05,10721.99,7.2
2018,ג'ת,584,5384,7970.65,2.34,8098.93,4.9
2018,דאלית אל-כרמל,908,7970,8024.37,2.98,7739.76,2.89
2018,דבורייה,477,4298,6970.18,2.95,9147.07,-0.34
2018,דייר אל-אסד,421,5268,7162.19,2.99,9013.08,-7.21
2018,דייר חנא,365,4629,6762.96,3.89,8197.81,0.23
2018,דימונה,751,18059,9478.51,2.07,8836.24,2.18
2018,הוד השרון,3809,30172,14612.01,3.51,12854.06,3.39
2018,הר אדר,252,2005,15283.71,0.44,16312.48,2.5
2018,הרצלייה,6015,46183,12612.23,1.45,12078.29,1.47
2018,זכרון יעקב,1322,10434,14023.47,0.1,11042.62,1.85
2018,זמר,349,3001,7100.92,3.32,7621.87,4.21
2018,זרזיר,164,3349,6527.12,5.23,8929.76,-12.44
2018,חדרה,4112,48693,9214.44,1.72,9129.72,1.93
2018,חולון,9581,94471,9631.72,1.38,9920.83,0.94
2018,חורה,209,4442,6421.81,4.23,7970.94,0.5
2018,חורפיש,302,2857,8508.82,4.06,5901.62,-11.77
2018,חיפה,11071,134990,10212.09,-0.05,10446.91,0.35
2018,חצבה,465,5443,11108.87,1.85,10034.24,1.11
2018,חצור הגלילית,323,4620,7487.84,1.19,8159.76,5.68
2018,חריש,507,6216,8781.13,0.1,7975.67,-3.47
2018,טבריה,1568,20722,6912.07,2.53,7694.15,-1.16
2018,טובא-זנגרייה,156,3063,6336.78,5.84,9833.05,-0.3
2018,טורעאן,649,5616,6381.96,4.0,11272.39,-4.31
2018,טייבה,1734,17973,6438.24,2.69,8138.22,4.3
2018,טירה,1315,11728,6987.97,2.5,8211.27,2.44
2018,טירת כרמל,724,11928,8694.19,3.97,8409.9,0.74
2018,טמרה,1101,14052,6089.86,2.61,9181.07,-1.37
2018,יאנוח-ג'ת,200,3100,7942.09,3.61,6903.27,3.42
2018,יבנאל,218,1356,7108.97,7.99,6549.84,-0.73
2018,יבנה,2004,23669,10515.49,3.09,10950.93,1.07
2018,יהוד,1627,15194,11702.48,0.6,12109.05,0.4
2018,יסוד המעלה,185,2497,10870.46,2.75,13583.32,6.44
2018,יפיע,712,7993,6351.5,2.88,9049.33,1.97
2018,יקנעם עילית,702,12555,11751.53,1.51,10843.0,0.32
2018,ירוחם,205,4929,8572.5,1.95,9114.79,-3.34
2018,ירושלים,25248,306765,7635.67,0.61,8945.07,0.58
2018,ירכא,674,6436,7154.49,1.72,8065.92,3.52
2018,כאבול,370,4912,6601.47,1.99,7416.22,1.84
2018,כאוכב אבו אל-היג'א,117,1674,7315.62,2.02,8122.62,10.74
2018,כוכב יאיר,665,5011,14862.37,1.06,14299.81,3.98
2018,כסיפה,156,4685,6343.48,3.73,9013.52,2.01
2018,כסרא-סמיע,255,3646,8028.71,6.52,6887.09,6.13
2018,כעביה-טבאש-חג'אג'רה,126,2409,6658.52,4.13,8328.48,0.93
2018,כפר ברא,163,1546,6704.35,0.69,9416.9,17.15
2018,כפר גלעדי,813,9790,9801.83,1.38,10668.14,-3.1
2018,כפר ורדים,361,2801,13897.1,0.63,9782.77,2.4
2018,כפר יאסיף,617,4739,7293.88,2.32,8144.34,0.51
2018,כפר יונה,1291,11405,11568.8,3.44,10817.68,-1.12
2018,כפר כמא,131,1674,8726.61,2.71,9162.16,4.37
2018,כפר כנא,767,8739,5848.88,3.81,9187.41,1.8
2018,כפר מנדא,652,7290,5395.28,1.59,9182.09,0.09
2018,כפר סבא,5414,49701,12773.23,0.5,11831.33,2.33
2018,כפר קאסם,1034,9621,6425.51,4.37,7701.37,-2.14
2018,כפר קרע,806,8594,7492.61,2.69,8579.57,-2.93
2018,כפר שמריהו,145,789,15714.17,-6.62,13655.01,1.12
2018,כפר תבור,273,2205,13091.71,0.46,12682.53,6.69
2018,כרמיאל,1560,23990,9150.84,1.33,8753.47,0.99
2018,להבים,274,3436,16995.7,-0.21,16379.42,-5.96
2018,לוד,2024,35119,7734.76,3.09,8281.07,1.75
2018,לוזית,1313,5053,10181.71,2.88,9430.42,1.53
2018,לקיה,187,4381,6009.66,2.84,9963.55,12.85
2018,מבשרת ציון,1252,11921,12332.57,0.57,11675.97,-0.94
2018,מגאר,816,9621,6918.32,3.71,8587.42,4.94
2018,מג'ד אל-כרום,529,6797,6120.26,2.79,8911.73,-5.4
2018,מגדל,185,3241,6168.3,1.61,9161.87,23.03
2018,מגדל העמק,658,12817,7684.57,1.59,7711.31,-2.77
2018,מג'דל שמס,864,4450,5524.23,2.6,7288.01,9.33
2018,מודיעין עילית,1179,15489,5157.52,4.1,5901.31,3.18
2018,מודיעין-מכבים-רעות*,4137,43544,14733.91,0.87,13419.61,4.01
2018,מזכרת בתיה,474,3632,13695.5,2.0,10992.32,2.98
2018,מזרעה,152,1958,6738.96,2.62,8185.87,2.75
2018,מטולה,125,937,8945.48,-1.14,10513.53,-5.91
2018,מיתר,380,5208,15718.29,0.07,13484.75,2.38
2018,מנחמיה,289,3146,10600.19,1.07,11725.79,3.98
2018,מסעדה,268,1507,5476.65,1.35,7064.09,12.52
2018,מעיליא,171,1595,9439.0,1.88,10166.37,7.67
2018,מעלה אדומים,1193,19738,9869.19,1.65,10255.65,1.0
2018,מעלה אפרים,39,726,7639.22,3.09,7501.21,-8.81
2018,מעלה עירון,485,5799,6087.04,2.23,9027.41,3.67
2018,מעלות-תרשיחא,708,11304,8647.09,3.65,9237.14,6.28
2018,מצפה רמון,183,2452,7457.25,1.98,8335.73,10.2
2018,מרחביה (קיבוץ),245,3453,6902.63,1.05,9366.71,3.63
2018,משהד,295,3336,6002.72,3.98,9773.61,2.65
2018,נהרייה,2252,30279,9571.91,-1.6,10399.28,-1.51
2018,נוגה,776,3677,9784.65,1.38,8466.89,13.12
2018,נועם,1935,14103,12547.12,1.37,11527.51,1.24
2018,נחף,420,5139,6199.73,2.6,7124.88,-0.02
2018,ניר עוז,221,3560,5673.98,2.55,9958.12,10.31
2018,נס ציונה,2300,23018,13816.15,1.52,12711.01,1.74
2018,נצרת,3115,33276,6787.75,1.88,9338.41,0.83
2018,נצרת עילית,1295,21974,7750.64,2.29,9227.7,0.4
2018,נשר,867,12055,10493.46,2.85,10035.56,2.16
2018,נתיבות,950,15973,7179.86,3.8,9015.93,5.77
2018,נתניה,9419,100584,9045.68,1.62,9394.07,0.56
2018,סאג'ור,137,2031,7879.85,3.87,5972.8,8.7
2018,סביון*,272,1992,17941.35,0.89,15234.88,1.44
2018,סח'נין,1172,13698,6617.17,1.26,8768.61,5.03
2018,ע'ג'ר,73,1121,7234.67,-0.82,7022.97,-6.55
2018,עומר,404,4024,16814.88,0.04,15181.29,-0.37
2018,עוצם,358,2269,14814.73,0.67,10879.29,-5.0
2018,עיילבון,253,2638,8179.97,3.26,8806.69,0.94
2018,עילוט,254,2925,5794.58,3.1,11080.26,-2.62
2018,עין הוד,61,940,10126.27,2.77,13628.79,27.87
2018,עין מאהל,344,5482,5704.66,3.96,7846.1,1.96
2018,עין קנייא,117,959,6095.91,1.01,6930.26,4.94
2018,עכו,1569,24451,7582.54,1.95,9012.18,-2.49
2018,עמנואל,72,1316,5318.85,4.35,5219.28,7.02
2018,עספיא,548,5628,8151.9,1.07,7471.84,5.26
2018,עפולה,1632,26494,8059.57,1.9,8835.03,-2.54
2018,עראבה,909,9740,6592.85,3.51,9782.99,5.34
2018,ערד,791,11694,7845.56,1.22,7483.19,4.18
2018,ערערה,652,8377,6865.31,2.71,7557.99,-1.61
2018,ערערה-בנגב,151,4370,6160.49,2.38,9726.08,-9.89
2018,עתלית,101,2333,9087.57,1.38,10632.35,9.19
2018,פוריידיס,468,5769,6345.73,3.19,7936.61,-3.86
2018,פסוטה,229,1555,8389.29,3.07,9523.05,-6.8
2018,פקיעין (בוקייעה),357,2699,7826.46,3.28,7284.48,1.53
2018,פרדס חנה-כרכור,2675,19378,10967.81,1.67,10141.63,0.81
2018,פרדסייה,404,3393,13190.93,3.51,11790.22,-5.58
2018,פתח תקווה,10241,122907,10757.55,1.06,11102.95,1.71
2018,צפת,1055,12956,6370.1,1.69,7102.24,3.28
2018,קדומים,157,1856,9600.8,-0.11,9642.5,5.18
2018,קדימה-צורן,1371,10645,13262.64,0.17,12874.49,6.97
2018,קלנסווה,847,9184,6778.79,2.72,8281.65,1.85
2018,קצרין,307,3713,7363.0,3.27,8325.93,6.02
2018,קריית אונו,2063,18327,14825.46,1.21,13749.8,1.49
