Years,שם יישוב,סמל היישוב,סך הכל,רכב פרטי,משאית סך הכל,משאית עד 4.0 טון עד 2008 משאית עד 3.5 טון החל ב- 2009,משאית מ - 4.1 עד 15.9 טון עד 2008 משאית מ - 3.6 עד 12.0 טון החל ב- 2009,משאית + 16.0 טון עד 2008 משאית + 12.1 טון החל ב- 2009,אוטובוס,מונית,אופנוע,רכב מיוחד,אוטובוס זעיר קיים מ - 1993
2020,אבנת,3786,58,53,4,4,-,-,-,-,1,-,-
2020,אבני חפץ,3793,637,560,47,35,12,-,-,3,27,-,-
2020,אבני איתן,4011,312,240,57,47,10,-,2,-,10,1,2
2020,אופקים,31,8856,7837,646,380,191,75,89,50,175,7,52
2020,אור הנר,67,344,312,22,10,12,-,-,-,10,-,-
2020,אדירים,113,147,98,36,13,13,10,-,-,12,-,1
2020,אודים,446,668,509,71,54,15,2,-,41,47,-,-
2020,אומץ,680,358,300,44,38,6,-,-,-,14,-,-
2020,אורה,780,533,433,67,45,22,-,1,1,30,-,1
2020,אור עקיבא,1020,7585,6810,530,349,143,38,17,41,153,4,30
2020,אוהד,1046,201,162,29,15,8,6,-,-,10,-,-
2020,אדמית,1068,190,161,21,16,5,-,-,1,7,-,-
2020,אומן,1108,267,214,32,16,9,7,-,1,20,-,-
2020,אדרת,1123,346,299,33,19,10,4,-,2,8,-,4
2020,אור הגנוז,1294,132,114,9,9,-,-,-,-,9,-,-
2020,אבשלום,1311,142,129,11,8,3,-,-,-,2,-,-
2020,אום בטין,1358,558,472,76,73,3,-,-,-,3,-,7
2020,אורות,2012,281,237,33,22,8,3,-,-,11,-,-
2020,אום אל-קוטוף,2024,488,424,42,33,6,3,1,5,8,-,8
2020,אור יהודה,2400,29155,25918,1722,1122,373,227,148,316,824,23,204
2020,אום אל-פחם,2710,21888,18021,2930,2111,563,256,45,31,741,14,106
2020,אדורה,3759,159,137,17,10,2,5,-,2,3,-,-
2020,אודם,4010,99,75,20,17,3,-,-,-,4,-,-
2020,אילנייה,49,322,255,50,40,9,1,1,-,16,-,-
2020,איילת השחר,77,452,391,48,34,13,1,-,-,13,-,-
2020,אושה,278,176,157,13,8,5,-,-,-,6,-,-
2020,אילון,294,477,420,43,34,9,-,-,2,11,-,1
2020,איבים,338,7,7,-,-,-,-,-,-,-,-,-
2020,אורים,403,151,138,10,2,8,-,-,1,1,1,-
2020,אזור,565,6799,5334,768,438,218,112,3,50,543,94,7
2020,אייל,716,245,226,15,13,2,-,-,-,4,-,-
2020,אחיהוד,785,444,360,76,36,18,22,-,3,5,-,-
2020,אחיעזר,797,752,656,60,35,23,2,-,3,33,-,-
2020,אחיסמך,804,936,645,278,65,46,167,6,-,5,-,2
2020,אחוזם,821,275,215,48,17,12,19,-,1,10,1,-
2020,אחיטוב,850,570,419,119,80,28,11,-,-,31,1,-
2020,אילות,1126,172,97,37,29,4,4,28,-,7,-,3
2020,אחווה,1157,102,93,6,2,2,2,-,-,2,-,1
2020,אחוזת ברק,1330,1168,1045,68,51,11,6,-,3,52,-,-
2020,אירוס,1336,335,292,18,12,2,4,-,2,23,-,-
2020,אילת,2600,21974,18081,1651,1041,429,181,52,483,1630,32,45
2020,אורנית,3760,4335,3814,267,186,70,11,-,15,232,3,4
2020,אורטל,4013,159,140,17,17,-,-,-,-,2,-,-
2020,איתן,37,235,188,46,28,15,3,-,-,1,-,-
2020,אליכין,41,1712,1476,132,98,29,5,3,5,77,1,18
2020,אלונים,285,274,251,11,9,2,-,-,1,11,-,-
2020,אלומות,330,176,160,9,9,-,-,-,-,7,-,-
2020,אלוני אבא,429,466,403,30,21,9,-,-,-,33,-,-
2020,אכסאל,478,6380,5063,1058,759,210,89,31,19,184,5,20
2020,אלוני יצחק,868,19,16,2,2,-,-,-,-,-,-,1
2020,אלומה,1145,210,201,8,8,-,-,-,-,1,-,-
2020,אלון הגליל,1182,561,504,41,32,8,1,-,-,15,1,-
2020,אליפז,1248,62,50,5,2,3,-,-,-,7,-,-
2020,אל -עריאן,1316,75,70,2,2,-,-,-,1,1,-,1
2020,אל -עזי,1339,25,21,4,4,-,-,-,-,-,-,-
2020,אל סייד,1359,303,237,66,33,18,15,-,-,-,-,-
2020,אליאב,1365,159,145,7,5,2,-,-,-,7,-,-
2020,אלון מורה,3579,522,436,68,48,20,-,-,-,7,2,9
2020,אלון שבות,3604,1325,942,116,91,22,3,165,-,23,1,78
2020,איתמר,3762,357,295,45,42,3,-,1,-,16,-,-
2020,אלי-עד,4002,246,179,50,40,9,1,-,-,15,-,2
2020,אל -רום,4003,197,174,20,20,-,-,-,-,3,-,-
2020,אלוני הבשן,4017,136,120,16,14,1,1,-,-,-,-,-
2020,אמציה,23,90,76,12,10,2,-,-,-,-,1,1
2020,אפיקים,176,367,330,26,20,5,1,-,1,10,-,-
2020,אלישיב,204,339,295,27,23,4,-,4,3,9,1,-
2020,אעבלין,529,5735,4704,896,620,200,76,5,16,87,4,23
2020,אלקוש,603,165,140,24,19,1,4,-,-,1,-,-
2020,אליקים,682,348,298,37,24,12,1,1,2,10,-,-
2020,אליפלט,730,395,296,67,23,16,28,9,5,10,-,8
2020,אמונים,772,564,460,80,41,24,15,-,1,21,1,1
2020,אלישמע,841,709,528,122,54,22,46,-,3,52,3,1
2020,אמירים,1064,372,340,25,24,1,-,-,-,6,-,1
2020,אלמגור,1125,246,168,69,61,7,1,-,-,9,-,-
2020,אמנון,1253,282,237,33,20,11,2,-,-,12,-,-
2020,אלעד,1309,6851,5928,480,392,85,3,12,33,347,3,48
2020,אלמוג,3556,113,99,7,6,-,1,-,-,7,-,-
2020,אלקנה,3560,1619,1524,57,41,12,4,-,3,30,5,-
2020,אלעזר,3618,767,689,49,43,6,-,-,-,29,-,-
2020,אלפי מנשה,3750,3890,3402,261,197,60,4,2,23,196,2,4
2020,אספר,3754,196,177,14,14,-,-,-,-,5,-,-
2020,אניעם,4012,288,238,36,32,4,-,-,-,14,-,-
2020,אפיק,4301,148,124,14,9,4,1,-,-,8,-,2
2020,אשדוד,70,66387,59210,4492,2261,1241,990,125,636,1524,56,344
2020,אשבול,71,260,230,25,15,8,2,-,-,5,-,-
2020,אשדות יעקב (מאוחד),188,252,227,17,14,3,-,-,-,8,-,-
2020,אשדות יעקב (איחוד),199,386,348,23,15,3,5,-,-,11,4,-
2020,אפק,313,268,240,15,13,2,-,-,1,11,1,-
2020,ארבל,701,333,262,46,27,15,4,-,-,25,-,-
2020,ארז,714,257,228,16,13,3,-,-,-,13,-,-
2020,אשתאול,740,585,380,158,134,18,6,-,4,13,26,4
2020,אשלים,1152,263,214,24,15,6,3,-,4,21,-,-
2020,אשחר,1188,305,289,11,7,4,-,-,-,5,-,-
2020,אשרת,1256,563,394,165,17,9,139,-,-,4,-,-
2020,אשבל,1276,9,8,1,1,-,-,-,-,-,-,-
2020,ארסוף,1324,93,83,6,6,-,-,-,-,4,-,-
2020,אשל הנשיא,2021,54,52,-,-,-,-,-,-,2,-,-
2020,אריאל,3570,6734,6032,378,267,103,8,34,42,206,4,38
2020,ארגמן,3598,99,77,14,12,2,-,-,-,7,1,-
2020,אפרת,3650,3961,3719,154,124,30,-,1,-,79,1,7
2020,אשכולות,3722,233,215,9,7,2,-,-,-,9,-,-
2020,באקה אל-גרביה,6000,12938,10476,1918,1166,396,356,49,31,355,31,78
2020,אשקלון,7100,53687,47460,4027,2182,988,857,96,412,1448,64,180
2020,באר אורה,21,410,334,32,24,6,2,-,3,41,-,-
2020,באר טוביה,155,857,599,224,81,97,46,-,1,32,-,1
2020,ביצרון,234,630,521,76,53,19,4,-,-,33,-,-
2020,בית אורן,317,215,162,45,28,16,1,-,-,8,-,-
2020,בירייה,368,386,331,36,21,11,4,-,2,17,-,-
2020,בארי,399,243,199,28,23,5,-,-,-,15,1,-
2020,בארות יצחק,450,133,98,23,17,4,2,-,-,12,-,-
2020,בועיינה-נוג'ידאת,482,3761,3188,437,290,70,77,47,4,42,8,35
2020,בוסתן הגליל,559,543,461,54,43,10,1,-,-,27,1,-
2020,בארותיים,697,548,464,53,38,12,3,-,1,30,-,-
2020,בורגתה,698,544,466,50,37,13,-,-,2,26,-,-
2020,בטחה,762,329,295,22,10,3,9,-,2,2,5,3
2020,ביר אל-מכסור,998,3839,3181,534,421,51,62,46,2,31,3,42
2020,באר מילכה,1278,81,54,25,21,4,-,-,-,2,-,-
2020,ביר הדאג',1348,439,266,164,134,29,1,-,-,7,-,2
2020,באר גנים,1376,721,648,51,31,18,2,2,2,17,1,-
2020,בחן,2043,388,358,12,8,2,2,-,-,18,-,-
2020,באר יעקב,2530,10941,9612,631,377,195,59,37,126,443,8,84
2020,בוקעאתא,4001,2963,2273,602,430,112,60,20,8,23,5,32
2020,באר שבע,9000,80108,69010,7148,4563,1499,1086,1232,665,1445,99,509
2020,בית אלפא,95,233,207,17,15,2,-,-,-,9,-,-
2020,בית זרע,143,231,211,13,11,2,-,-,-,6,-,1
2020,בית השיטה,242,618,538,57,37,12,8,-,-,23,-,-
2020,בית הלל,322,391,324,50,38,12,-,-,-,17,-,-
2020,בית זיד,353,28,28,-,-,-,-,-,-,-,-,-
2020,בית הלוי,373,421,347,50,38,11,1,2,-,22,-,-
2020,בית דגן,466,8376,3799,578,452,108,18,3355,28,470,31,115
2020,בית ג'ן,480,4939,4280,568,504,43,21,13,-,36,2,40
2020,בית אלעזרי,562,843,664,108,74,25,9,1,1,68,-,1
2020,בית גמליאל,571,514,449,48,27,17,4,-,-,17,-,-
2020,בית העמק,572,245,210,21,17,4,-,-,-,14,-,-
2020,בית גוברין,619,183,159,11,7,4,-,-,-,13,-,-
2020,בית זית,710,823,728,67,47,16,4,1,2,24,1,-
2020,בית הגדי,723,392,308,76,38,17,21,-,1,5,-,2
2020,בית חירות,877,404,355,26,20,6,-,-,-,21,2,-
2020,בית ברל,1076,12,12,-,-,-,-,-,-,-,-,-
2020,בית אל,3574,1490,1262,192,159,33,-,-,1,33,-,2
2020,בית חורון,3575,526,494,17,8,9,-,-,-,14,-,1
2020,בית הערבה,3645,133,119,9,9,-,-,-,-,5,-,-
2020,בית אריה-עופרים,3652,2711,2255,238,159,60,19,8,22,182,3,3
2020,בית ניר,16,253,223,21,19,2,-,-,-,9,-,-
2020,בית חנן,159,426,331,69,42,22,5,-,-,26,-,-
2020,בית ינאי,200,259,214,32,22,10,-,1,-,12,-,-
2020,בית עובד,202,203,162,31,24,7,-,-,-,10,-,-
2020,בית צבי,212,23,21,1,1,-,-,-,-,1,-,-
2020,בית יוסף,265,254,207,42,20,4,18,-,-,5,-,-
2020,בית יהושע,288,521,428,72,44,24,4,-,1,20,-,-
2020,בית עוזיאל,301,361,282,66,43,13,10,-,-,13,-,-
2020,בית יצחק-שער חפר,326,1228,1026,116,91,25,-,-,1,85,-,-
2020,בית קשת,365,229,211,16,14,2,-,-,-,1,1,-
2020,בית לחם הגלילית,430,463,376,67,54,11,2,-,-,20,-,-
2020,בית קמה,598,383,338,17,11,6,-,8,-,20,-,-
2020,בית עריף,604,522,444,40,29,11,-,5,4,24,-,5
2020,בית נקופה,672,361,282,46,31,11,4,-,1,31,-,1
2020,בית מאיר,751,225,192,29,16,13,-,-,-,4,-,-
2020,בית עזרא,756,601,494,89,39,33,17,2,2,10,1,3
2020,בית נחמיה,784,572,447,78,34,22,22,-,9,38,-,-
2020,בית חנניה,800,484,349,79,31,29,19,-,-,56,-,-
2020,בית חשמונאי,1050,917,808,56,39,13,4,11,4,36,1,1
2020,בית חלקיה,2033,215,173,32,15,10,7,-,-,8,-,2
2020,בצרה,389,669,539,83,45,31,7,-,-,43,-,4
2020,בני ציון,418,770,645,83,60,20,3,-,-,42,-,-
2020,ברור חיל,428,406,374,23,19,4,-,-,-,9,-,-
2020,בענה,483,3362,2761,510,359,92,59,2,5,65,5,14
2020,בני ראם,588,573,491,54,34,19,1,10,-,16,-,2
2020,בצת,589,228,177,32,19,11,2,-,1,18,-,-
2020,ברעם,667,286,236,37,34,-,3,-,-,13,-,-
2020,בניה,685,447,378,44,27,12,5,-,2,23,-,-
2020,ברכיה,746,548,394,110,49,33,28,24,2,16,2,-
2020,בר גיורא,823,298,253,35,21,8,6,-,3,7,-,-
2020,בקוע,864,360,321,31,16,15,-,-,-,8,-,-
2020,בסמת טבעון,944,3116,2468,510,305,59,146,1,66,67,-,4
2020,"בני עי""ש",1066,24500,23675,728,493,199,36,3,17,68,1,8
2020,בר יוחאי,1191,353,302,37,23,-,14,-,-,13,-,1
2020,"בסמ""ה",1326,4334,3635,553,441,86,26,30,8,60,1,47
2020,ברוש,2060,236,203,23,16,4,3,-,3,7,-,-
2020,בקעות,3612,156,88,35,19,15,1,20,-,10,-,3
2020,ברכה,3710,576,519,49,39,9,1,-,-,7,-,1
2020,ברוכין,3744,327,309,17,16,1,-,-,-,1,-,-
2020,בנימינה-גבעת עדה*,9800,6329,5647,448,322,104,22,-,3,211,2,18
2020,בצרה,389,669,539,83,45,31,7,-,-,43,-,4
2020,בני ציון,418,770,645,83,60,20,3,-,-,42,-,-
2020,ברור חיל,428,406,374,23,19,4,-,-,-,9,-,-
2020,בענה,483,3362,2761,510,359,92,59,2,5,65,5,14
2020,בני ראם,588,573,491,54,34,19,1,10,-,16,-,2
2020,בצת,589,228,177,32,19,11,2,-,1,18,-,-
2020,ברעם,667,286,236,37,34,-,3,-,-,13,-,-
2020,בניה,685,447,378,44,27,12,5,-,2,23,-,-
2020,ברכיה,746,548,394,110,49,33,28,24,2,16,2,-
2020,בר גיורא,823,298,253,35,21,8,6,-,3,7,-,-
2020,בקוע,864,360,321,31,16,15,-,-,-,8,-,-
2020,בסמת טבעון,944,3116,2468,510,305,59,146,1,66,67,-,4
2020,"בני עי""ש",1066,24500,23675,728,493,199,36,3,17,68,1,8
2020,בר יוחאי,1191,353,302,37,23,-,14,-,-,13,-,1
2020,"בסמ""ה",1326,4334,3635,553,441,86,26,30,8,60,1,47
2020,ברוש,2060,236,203,23,16,4,3,-,3,7,-,-
2020,בקעות,3612,156,88,35,19,15,1,20,-,10,-,3
2020,ברכה,3710,576,519,49,39,9,1,-,-,7,-,1
2020,ברוכין,3744,327,309,17,16,1,-,-,-,1,-,-
2020,בנימינה-גבעת עדה*,9800,6329,5647,448,322,104,22,-,3,211,2,18
2020,בת שלמה,33,324,274,33,24,8,1,-,-,16,1,-
2020,גבע,86,176,141,21,18,3,-,-,-,14,-,-
2020,ברק,141,252,182,35,20,6,9,-,1,32,1,1
2020,גבולות,352,140,132,3,3,-,-,-,-,5,-,-
2020,גאולים,379,530,423,76,48,14,14,-,1,28,1,1
2020,גבים,424,241,212,17,14,3,-,-,-,12,-,-
2020,ברקאי,617,234,208,19,14,4,1,-,-,7,-,-
2020,גבע כרמל,683,681,469,193,56,62,75,-,-,19,-,-
2020,גאליה,853,605,519,53,34,17,2,-,2,31,-,-
2020,גאולי תימן,872,235,171,46,21,3,22,5,-,9,-,4
2020,בת חפר,1319,2565,2246,171,127,36,8,-,4,143,1,-
2020,בת הדר,1323,362,320,22,14,7,1,-,4,15,-,1
2020,בת חן,1361,288,237,37,18,13,6,-,-,14,-,-
2020,גבעולים,2014,257,186,68,24,12,32,1,-,1,-,1
2020,ברקת,2038,672,566,63,42,11,10,-,-,41,2,-
2020,גבעון החדשה,3644,667,607,31,21,7,3,-,2,27,-,-
2020,ברקן,3654,1352,889,296,123,138,35,91,4,51,7,14
2020,גבע בנימין,3763,1772,1563,110,83,27,-,5,17,70,-,7
2020,בת עין,3794,477,393,64,50,13,1,-,-,20,-,-
2020,בת ים,6200,40499,33719,2473,1633,697,143,21,707,3477,32,70
2020,גבעת ברנר,147,1065,912,77,48,19,10,3,2,71,-,-
2020,גבעת חיים (מאוחד),173,441,405,20,15,5,-,-,-,15,1,-
2020,"גבעת ח""ן",207,264,199,38,24,14,-,-,-,27,-,-
2020,"גבעת ניל""י",360,349,254,76,56,16,4,-,1,18,-,-
2020,גבעת שמש,566,4,2,2,1,-,1,-,-,-,-,-
2020,גבעת שמואל,681,11337,9197,476,345,108,23,840,85,678,49,12
2020,גבעת עוז,703,151,137,9,8,1,-,-,-,5,-,-
2020,גבעת יערים,787,630,548,47,16,10,21,-,4,31,-,-
2020,גבעתי,793,582,418,144,48,49,47,-,2,13,2,3
2020,"גבעת כ""ח",802,479,378,61,30,28,3,-,1,36,1,2
2020,גבעת השלושה,870,347,262,50,24,22,4,1,-,30,4,-
2020,גבעת ישעיהו,919,324,280,34,28,6,-,-,2,8,-,-
2020,גבעת שפירא,1077,151,142,5,3,2,-,-,-,4,-,-
2020,גבעת אלה,1288,1070,1016,38,31,7,-,-,-,16,-,-
2020,גבעת אבני,1293,1202,1071,70,53,15,2,2,2,56,-,1
2020,גבעות בר,1344,385,358,14,9,4,1,-,-,12,1,-
2020,גבעת חיים (איחוד),2018,529,483,35,26,9,-,-,-,11,-,-
2020,גבעת זאב,3730,6346,5698,353,221,100,32,9,57,218,1,10
2020,גבעת יואב,4021,375,284,76,52,14,10,-,-,15,-,-
2020,גבעתיים,6300,23862,20312,658,473,137,48,4,102,2768,6,12
2020,גדות,35,172,153,11,5,6,-,-,-,8,-,-
2020,גיניגר,92,268,239,19,9,9,1,-,-,10,-,-
2020,גבת,133,360,323,25,17,8,-,-,-,12,-,-
2020,גדיש,145,189,113,24,6,8,10,24,1,8,-,19
2020,גיבתון,196,181,156,8,5,3,-,1,1,8,-,7
2020,גינוסר,262,265,242,8,5,3,-,-,1,14,-,-
2020,גברעם,342,242,208,18,9,9,-,-,-,16,-,-
2020,גזר,370,145,131,9,4,4,1,-,-,5,-,-
2020,גדעונה,442,196,178,12,8,4,-,-,-,6,-,-
2020,גזית,457,250,221,18,15,3,-,-,-,11,-,-
2020,ג'ולס,485,3127,2663,312,268,33,11,2,19,129,-,2
2020,גיאה,706,414,351,42,31,10,1,-,1,20,-,-
2020,גילת,736,678,582,62,30,18,14,-,-,34,-,-
2020,גורן,755,252,195,47,21,17,9,-,-,9,-,1
2020,גונן,852,181,171,9,6,3,-,-,-,1,-,-
2020,גיזו,1043,109,87,11,10,1,-,-,4,7,-,-
2020,גילון,1204,579,546,23,20,3,-,-,1,9,-,-
2020,גורנות הגליל,1219,180,121,38,32,6,-,14,-,7,-,-
2020,ג'דיידה-מכר,1292,8438,7362,837,613,165,59,1,17,191,6,24
2020,גדרה,2550,10778,9727,680,441,192,47,3,47,299,5,17
2020,גן שמואל,72,255,202,42,24,4,14,-,-,11,-,-
2020,גן שלמה,144,246,201,24,18,6,-,-,-,21,-,-
2020,גן יבנה,166,10456,9250,773,484,206,83,7,87,307,6,26
2020,גן השומרון,225,508,385,101,40,25,36,-,-,21,1,-
2020,גן חיים,239,412,351,35,26,9,-,-,-,26,-,-
2020,גן שורק,311,251,198,38,19,15,4,-,1,14,-,-
2020,גליל ים,346,299,242,21,19,2,-,-,-,36,-,-
2020,גלעד (אבן יצחק),369,121,101,8,5,3,-,-,-,12,-,-
2020,גלאון,393,246,234,9,9,-,-,-,-,3,-,-
2020,גנות הדר,549,515,460,30,19,7,4,-,1,24,-,-
2020,ג'לג'וליה,627,4458,3521,745,501,148,96,12,14,91,8,67
2020,גן יאשיה,734,455,387,51,33,14,4,-,-,17,-,-
2020,גמזו,745,390,354,23,18,5,-,1,1,9,-,2
2020,גנות,836,274,206,42,17,14,11,1,-,25,-,-
2020,גינתון,863,500,398,48,34,14,-,-,1,51,-,2
2020,גן הדרום,1072,280,231,34,16,14,4,-,1,14,-,-
2020,גיתה,1206,134,118,10,9,1,-,-,1,4,1,-
2020,גן נר,1274,1407,1232,100,62,24,14,-,1,72,-,2
2020,גלגל,3606,50,39,5,5,-,-,-,-,6,-,-
2020,גיתית,3613,168,141,19,15,4,-,3,-,5,-,-
2020,גפן,39,188,160,25,18,5,2,-,-,3,-,-
2020,גת רימון,128,186,121,13,10,3,-,-,38,14,-,-
2020,דבורה,146,180,138,27,13,9,5,2,-,7,1,5
2020,גני עם,218,159,147,9,7,1,1,-,-,3,-,-
2020,גני תקווה,229,9312,8357,324,243,63,18,1,35,582,8,5
2020,גשר,305,199,165,30,9,13,8,-,-,4,-,-
2020,גת (קיבוץ),340,304,271,31,23,3,5,-,-,2,-,-
2020,געתון,463,289,260,25,21,4,-,-,-,4,-,-
2020,ג'ש (גוש חלב),487,1552,1322,212,156,46,10,1,1,13,1,2
2020,דאלית אל-כרמל,494,8193,6838,1181,810,294,77,10,16,119,2,27
2020,ג'סר א-זרקא,541,3482,3096,264,238,16,10,16,1,39,-,66
2020,גשר הזיו,574,686,607,54,28,17,9,-,-,25,-,-
2020,ג'ת,628,5232,4622,486,359,74,53,13,5,44,1,61
2020,געש,842,743,417,50,21,21,8,-,1,275,-,-
2020,גני יוחנן,862,391,320,57,36,12,9,-,-,13,1,-
2020,גני הדר,1103,211,174,21,14,5,2,-,-,15,-,1
2020,גרופית,1129,116,84,26,18,3,5,-,-,6,-,-
2020,גני טל,1371,277,251,20,11,9,-,-,-,6,-,-
2020,גני מודיעין,3823,1036,884,93,77,15,1,2,5,46,1,5
2020,גשור,4022,156,131,17,15,2,-,-,-,7,1,-
2020,דגניה א',62,195,168,12,11,1,-,-,-,15,-,-
2020,דגניה ב',79,251,221,16,11,5,-,1,-,13,-,-
2020,דלייה,300,415,369,33,28,4,1,-,-,13,-,-
2020,דפנה,302,309,272,25,17,8,-,-,-,12,-,-
2020,דן,303,312,275,30,14,15,1,-,-,7,-,-
2020,דורות,336,297,268,15,9,6,-,-,-,13,1,-
2020,דברת,407,186,167,14,11,3,-,-,-,5,-,-
2020,דלתון,431,560,407,131,45,27,59,-,1,14,-,7
2020,דחי,475,259,211,44,33,10,1,-,-,4,-,-
2020,דבורייה,489,4681,3713,870,293,94,483,9,8,52,5,24
2020,דייר אל-אסד,490,5287,4281,883,483,155,245,6,1,48,46,22
2020,דייר חנא,492,4482,3828,504,405,66,33,52,11,44,7,36
2020,דייר ראפאת,493,23,19,4,4,-,-,-,-,-,-,-
2020,דור,738,203,173,24,14,8,2,-,-,6,-,-
2020,דבירה,849,362,340,12,10,2,-,-,-,9,1,-
2020,"דוב""ב",1067,351,235,111,23,7,81,-,-,1,1,3
2020,דמיידה,1317,214,162,51,37,3,11,-,1,-,-,-
2020,דישון,2063,214,177,29,18,2,9,-,3,4,-,1
2020,דימונה,2200,13421,11601,1258,857,181,220,48,132,306,8,68
2020,דולב,3747,477,442,22,17,5,-,-,-,12,-,1
2020,הדר עם,191,419,365,40,29,10,1,-,-,14,-,-
2020,הזורע,250,329,299,24,20,3,1,-,-,6,-,-
2020,הזורעים,307,354,287,50,27,13,10,-,1,16,-,-
2020,הגושרים,356,390,349,27,26,1,-,-,-,14,-,-
2020,המעפיל,377,308,275,17,13,4,-,-,-,16,-,-
2020,העוגן,423,334,298,22,16,6,-,-,1,13,-,-
2020,החותרים,434,340,310,18,12,3,3,-,-,12,-,-
2020,הבונים,675,179,160,16,13,2,1,-,-,3,-,-
2020,הסוללים,677,512,469,31,23,8,-,1,-,10,-,1
2020,היוגב,684,439,345,75,46,20,9,-,-,19,-,-
2020,האון,702,60,53,5,5,-,-,-,-,2,-,-
2020,הודייה,726,491,323,100,44,32,24,38,1,9,-,20
2020,הושעיה,1186,770,716,36,31,4,1,-,-,17,1,-
2020,הילה,1208,326,283,30,25,5,-,-,-,13,-,-
2020,דקל,1241,201,141,40,23,16,1,-,2,18,-,-
2020,הודיות,1322,23,22,1,1,-,-,-,-,-,-,-
2020,דריג'את,1349,133,105,13,5,1,7,7,1,-,-,7
2020,הר גילה,3603,700,626,41,26,15,-,1,4,28,-,-
2020,הר אדר,3769,2245,1997,99,71,24,4,1,35,110,-,3
2020,הוד השרון,9700,29961,26933,1535,986,389,160,7,86,1329,10,61
2020,זוהר,44,228,165,49,24,15,10,7,1,5,1,-
2020,חבצלת השרון,235,349,189,144,19,5,120,-,-,15,1,-
2020,הראל,464,100,90,6,5,1,-,-,-,4,-,-
2020,זיקים,584,417,380,26,18,7,1,-,-,10,1,-
2020,זיתן,788,671,474,153,40,49,64,-,7,30,4,3
2020,זכריה,799,483,422,47,26,10,11,1,7,5,1,-
2020,זבדיאל,815,259,236,17,14,3,-,-,-,5,-,1
2020,זנוח,816,256,197,49,20,24,5,-,8,2,-,-
2020,זרחיה,818,436,302,115,39,39,37,-,7,11,-,1
2020,זרזיר,975,2523,2177,303,249,29,25,2,-,33,-,8
2020,זמרת,1065,280,206,48,22,16,10,6,1,5,1,13
2020,ורדון,1133,106,96,5,4,-,1,-,1,3,-,1
2020,הררית,1203,244,223,20,16,3,1,-,-,1,-,-
2020,הרדוף,1249,265,245,18,14,4,-,-,-,2,-,-
2020,הר עמשא,1261,81,62,16,13,3,-,-,-,3,-,-
