,year,city,population
231,2020,אום בטין,4277
232,2020,אומן,387
233,2020,אומץ,849
234,2020,אופקים,30663
235,2020,אור הגנוז,574
236,2020,אור הנר,768
237,2020,אור יהודה,36813
238,2020,אור עקיבא,18972
239,2020,אורה,1314
240,2020,אורון,-
241,2020,אורות,496
242,2020,אורטל,343
243,2020,אורים,501
244,2020,אורנים,178
245,2020,אורנית,8955
246,2020,אושה,533
247,2020,אזור,12957
248,2020,אזור תעסוקה משגב(תרדיון),-
249,2020,אזור תעשייה אכזיב (מילואות),-
250,2020,אזור תעשייה נעמן (מילואות),-
251,2020,אחווה,303
252,2020,אחוזם,548
253,2020,אחוזת ברק,2279
254,2020,אחיהוד,892
255,2020,אחיטוב,1093
256,2020,אחיסמך,1377
257,2020,אחיעזר,1906
258,2020,איבים,457
259,2020,אייל,534
260,2020,איילת השחר,1134
261,2020,אילון,1031
262,2020,אילון תבור*,-
263,2020,אילות,314
264,2020,אילנייה,490
265,2020,אילת,52300
266,2020,אירוס,706
267,2020,איתמר,1269
268,2020,איתן,464
269,2020,איתנים,81
270,2020,אכסאל,14784
271,2020,אל סייד,5876
272,2020,אל -עזי,195
273,2020,אל -עריאן,191
274,2020,אל -רום,398
275,2020,אלומה,537
276,2020,אלומות,405
277,2020,אלון הגליל,1118
278,2020,אלון מורה,1920
279,2020,אלון שבות,3098
280,2020,אלוני אבא,992
281,2020,אלוני הבשן,457
282,2020,אלוני יצחק,308
283,2020,אלונים,515
284,2020,אליאב,546
285,2020,אליכין,3415
286,2020,אלי-עד,433
287,2020,אליפז,151
288,2020,אליפלט,651
289,2020,אליקים,909
290,2020,אלישיב,713
291,2020,אלישמע,1200
292,2020,אלמגור,418
293,2020,אלמוג,255
294,2020,אלעד,48763
295,2020,אלעזר,2459
296,2020,אלפי מנשה,7952
297,2020,אלקוש,275
298,2020,אלקנה,3838
299,2020,אמונים,993
300,2020,אמירים,865
301,2020,אמנון,391
302,2020,אמציה,263
303,2020,אניעם,532
304,2020,אספר,932
305,2020,אעבלין,13305
306,2020,אפיק,344
307,2020,אפיקים,1510
308,2020,אפק,712
309,2020,אפרת,10806
310,2020,ארבל,735
311,2020,ארגמן,133
312,2020,ארז,558
313,2020,אריאל,20540
314,2020,ארסוף,166
315,2020,אשבול,652
316,2020,אשבל,126
317,2020,אשדוד,225939
318,2020,אשדות יעקב (איחוד),1003
319,2020,אשדות יעקב (מאוחד),545
320,2020,אשחר,965
321,2020,אשכולות,577
322,2020,אשל הנשיא,355
323,2020,אשלים,568
324,2020,אשקלון,144072
325,2020,אשרת,588
326,2020,אשתאול,1238
327,2020,באקה אל-גרביה,29950
328,2020,באר אורה,1033
329,2020,באר גנים,1525
330,2020,באר טוביה,1289
331,2020,באר יעקב,27767
332,2020,באר מילכה,188
333,2020,באר שבע,209687
334,2020,בארות יצחק,414
335,2020,בארותיים,1144
336,2020,בארי,1050
337,2020,בוסתן הגליל,1302
338,2020,בועיינה-נוג'ידאת,9812
339,2020,בוקעאתא,6610
340,2020,בורגתה,1135
341,2020,בחן,1084
342,2020,בטחה,777
343,2020,"בי""ס אזורי מקיף (אשר)",-
344,2020,ביצרון,1258
345,2020,ביר אל-מכסור,9522
346,2020,ביר הדאג',5874
347,2020,בירייה,839
348,2020,בית אורן,507
349,2020,בית אל,5973
350,2020,בית אלעזרי,1567
351,2020,בית אלפא,1075
352,2020,בית אריה-עופרים,5253
353,2020,בית ברל,198
354,2020,בית גוברין,434
355,2020,בית גמליאל,1019
356,2020,בית ג'ן,12001
357,2020,בית דגן,7284
358,2020,בית הגדי,847
359,2020,בית הלוי,828
360,2020,בית הלל,775
361,2020,בית העמק,577
362,2020,בית הערבה,350
363,2020,בית השיטה,1263
364,2020,בית זיד,84
365,2020,בית זית,1708
366,2020,בית זרע,578
367,2020,בית חולים פוריה,-
368,2020,בית חורון,1437
369,2020,בית חירות,916
370,2020,בית חלקיה,1248
371,2020,בית חנן,542
372,2020,בית חנניה,907
373,2020,בית חשמונאי,2197
374,2020,בית יהושע,1046
375,2020,בית יוסף,481
376,2020,בית ינאי,372
377,2020,בית יצחק-שער חפר,2131
378,2020,בית לחם הגלילית,843
379,2020,בית מאיר,877
380,2020,בית נחמיה,879
381,2020,בית ניר,608
382,2020,בית נקופה,744
383,2020,בית עובד,263
384,2020,בית עוזיאל,624
385,2020,בית עזרא,1116
386,2020,בית עריף,1174
387,2020,בית צבי,347
388,2020,בית קמה,1405
389,2020,בית קשת,713
390,2020,בית רבן,1019
391,2020,בית רימון,876
392,2020,בית שאן,18463
393,2020,בית שמש,124957
394,2020,בית שערים,766
395,2020,בית שקמה,862
396,2020,ביתן אהרן,152
397,2020,ביתר עילית,59269
398,2020,בלפוריה,529
399,2020,בן זכאי,1132
400,2020,בן עמי,765
401,2019,אבו גוש,7543
402,2019,אבו סנאן,13915
403,2019,אבו קורינאת (יישוב),1815
404,2019,אבו תלול,1822
405,2019,אבטין,2773
406,2019,אבטליון,470
407,2019,אביאל,815
408,2019,אביבים,477
409,2019,אביגדור,820
410,2019,אביחיל,1410
411,2019,אביטל,502
412,2019,אביעזר,865
413,2019,אבירים,227
414,2019,אבן יהודה,13700
415,2019,אבן מנחם,297
416,2019,אבן ספיר,724
417,2019,אבן שמואל,1675
418,2019,אבני איתן,714
419,2019,אבני חפץ,1895
420,2019,אבנת,185
421,2019,אבשלום,274
422,2019,אדורה,440
423,2019,אדירים,279
424,2019,אדמית,209
425,2019,אדרת,848
426,2019,אודים,1375
427,2019,אודם,139
428,2019,אוהד,407
429,2019,אום אל-פחם,55182
430,2019,אום אל-קוטוף,1093
431,2019,אום בטין,4093
432,2019,אומן,368
433,2019,אומץ,832
434,2019,אופקים,29021
435,2019,אור הגנוז,548
436,2019,אור הנר,754
437,2019,אור יהודה,36864
438,2019,אור עקיבא,18236
439,2019,אורה,1337
440,2019,אורון,-
441,2019,אורות,507
442,2019,אורטל,343
443,2019,אורים,493
444,2019,אורנים,179
445,2019,אורנית,8807
446,2019,אושה,492
447,2019,אזור,12854
448,2019,אזור תעסוקה משגב(תרדיון),-
449,2019,אזור תעשייה אכזיב (מילואות),-
450,2019,אזור תעשייה נעמן (מילואות),-
451,2019,אחווה,351
452,2019,אחוזם,544
453,2019,אחוזת ברק,2256
454,2019,אחיהוד,868
455,2019,אחיטוב,1099
456,2019,אחיסמך,1374
457,2019,אחיעזר,1872
458,2019,איבים,277
459,2019,אייל,522
460,2019,איילת השחר,1134
461,2019,אילון,1020
462,2019,אילון תבור*,-
463,2019,אילות,317
464,2019,אילנייה,490
465,2019,אילת,51935
466,2019,אירוס,622
467,2019,איתמר,1238
468,2019,איתן,456
469,2019,איתנים,80
470,2019,אכסאל,14500
471,2019,אל סייד,5663
472,2019,אל -עזי,188
473,2019,אל -עריאן,191
474,2019,אל -רום,392
475,2019,אלומה,514
476,2019,אלומות,410
477,2019,אלון הגליל,1115
478,2019,אלון מורה,1946
479,2019,אלון שבות,3151
480,2019,אלוני אבא,991
481,2019,אלוני הבשן,445
482,2019,אלוני יצחק,302
483,2019,אלונים,504
484,2019,אליאב,427
485,2019,אליכין,3486
486,2019,אלי-עד,401
487,2019,אליפז,152
488,2019,אליפלט,633
489,2019,אליקים,888
490,2019,אלישיב,733
491,2019,אלישמע,1199
492,2019,אלמגור,389
493,2019,אלמוג,253
494,2019,אלעד,47866
495,2019,אלעזר,2510
496,2019,אלפי מנשה,7865
497,2019,אלקוש,292
498,2019,אלקנה,3812
499,2019,אמונים,979
500,2019,אמירים,837
501,2019,אמנון,319
502,2019,אמציה,353
503,2019,אניעם,531
504,2019,אספר,835
505,2019,אעבלין,13128
506,2019,אפיק,329
507,2019,אפיקים,1494
508,2019,אפק,684
509,2019,אפרת,10088
510,2019,ארבל,738
511,2019,ארגמן,133
512,2019,ארז,517
513,2019,אריאל,20456
514,2019,ארסוף,166
515,2019,אשבול,635
516,2019,אשבל,125
517,2019,אשדוד,224628
518,2019,אשדות יעקב (איחוד),981
519,2019,אשדות יעקב (מאוחד),513
520,2019,אשחר,918
521,2019,אשכולות,567
522,2019,אשל הנשיא,355
523,2019,אשלים,550
524,2019,אשקלון,140968
525,2019,אשרת,549
526,2019,אשתאול,1252
527,2019,באקה אל-גרביה,29393
528,2019,באר אורה,965
529,2019,באר גנים,1295
530,2019,באר טוביה,1214
531,2019,באר יעקב,26122
532,2019,באר מילכה,189
533,2019,באר שבע,209002
534,2019,בארות יצחק,420
535,2019,בארותיים,1154
536,2019,בארי,1037
537,2019,בוסתן הגליל,1305
538,2019,בועיינה-נוג'ידאת,9645
539,2019,בוקעאתא,6528
540,2019,בורגתה,1120
541,2019,בחן,1054
542,2019,בטחה,789
543,2019,"בי""ס אזורי מקיף (אשר)",-
544,2019,ביצרון,1267
545,2019,ביר אל-מכסור,9317
546,2019,ביר הדאג',5735
547,2019,בירייה,843
548,2019,בית אורן,467
549,2019,בית אל,6042
550,2019,בית אלעזרי,1563
551,2019,בית אלפא,692
552,2019,בית אריה,5139
553,2019,בית ברל,208
554,2019,בית גוברין,426
555,2019,בית גמליאל,1019
556,2019,בית ג'ן,11864
557,2019,בית דגן,7211
558,2019,בית הגדי,839
559,2019,בית הלוי,803
560,2019,בית הלל,791
561,2019,בית העמק,553
562,2019,בית הערבה,290
563,2019,בית השיטה,1264
564,2019,בית זיד,79
565,2019,בית זית,1678
566,2019,בית זרע,590
567,2019,בית חולים פוריה,-
568,2019,בית חורון,1362
569,2019,בית חירות,904
570,2019,בית חלקיה,1221
571,2019,בית חנן,548
572,2019,בית חנניה,912
573,2019,בית חשמונאי,2190
574,2019,בית יהושע,1054
575,2019,בית יוסף,460
576,2019,בית ינאי,387
577,2019,בית יצחק-שער חפר,2079
578,2019,בית לחם הגלילית,825
579,2019,בית מאיר,874
580,2019,בית נחמיה,871
581,2019,בית ניר,612
582,2019,בית נקופה,723
583,2019,בית עובד,253
584,2019,בית עוזיאל,645
585,2019,בית עזרא,1137
586,2019,בית עריף,1156
587,2019,בית צבי,345
588,2019,בית קמה,1396
589,2019,בית קשת,706
590,2019,בית רבן,979
591,2019,בית רימון,789
592,2019,בית שאן,18227
593,2019,בית שמש,118676
594,2019,בית שערים,744
595,2019,בית שקמה,873
596,2019,ביתן אהרן,122
597,2019,ביתר עילית,56746
598,2019,בלפוריה,512
599,2019,בן זכאי,1115
600,2019,בן עמי,775
601,2018,אבו גוש,7332
602,2018,אבו סנאן,13694
603,2018,אבו קורינאת (יישוב),1569
604,2018,אבו תלול,551
605,2018,אבטין,2759
606,2018,אבטליון,436
607,2018,אביאל,812
608,2018,אביבים,489
609,2018,אביגדור,793
610,2018,אביחיל,1383
611,2018,אביטל,519
612,2018,אביעזר,883
613,2018,אבירים,216
614,2018,אבן יהודה,13704
615,2018,אבן מנחם,286
616,2018,אבן ספיר,728
617,2018,אבן שמואל,1941
618,2018,אבני איתן,700
619,2018,אבני חפץ,1836
620,2018,אבנת,201
621,2018,אבשלום,261
622,2018,אדורה,440
623,2018,אדירים,277
624,2018,אדמית,199
625,2018,אדרת,919
626,2018,אודים,1367
627,2018,אודם,131
628,2018,אוהד,408
629,2018,אום אל-פחם,54240
630,2018,אום אל-קוטוף,1071
631,2018,אום בטין,3443
632,2018,אומן,355
633,2018,אומץ,795
634,2018,אופקים,27771
635,2018,אור הגנוז,539
636,2018,אור הנר,733
637,2018,אור יהודה,36706
638,2018,אור עקיבא,17759
639,2018,אורה,1388
640,2018,אורון,-
641,2018,אורות,515
642,2018,אורטל,352
643,2018,אורים,475
644,2018,אורנים,182
645,2018,אורנית,8655
646,2018,אושה,483
647,2018,אזור,12701
648,2018,אזור תעסוקה משגב(תרדיון),-
649,2018,אזור תעשייה אכזיב (מילואות),-
650,2018,אזור תעשייה נעמן (מילואות),-
651,2018,אחווה,293
652,2018,אחוזם,539
653,2018,אחוזת ברק,2208
654,2018,אחיהוד,859
655,2018,אחיטוב,1091
656,2018,אחיסמך,1382
657,2018,אחיעזר,1782
658,2018,איבים,379
659,2018,אייל,506
660,2018,איילת השחר,1161
661,2018,אילון,980
662,2018,אילון תבור*,-
663,2018,אילות,322
664,2018,אילנייה,487
665,2018,אילת,50724
666,2018,אירוס,478
667,2018,איתמר,1199
668,2018,איתן,449
669,2018,איתנים,72
670,2018,אכסאל,14245
671,2018,אל סייד,3796
672,2018,אל -עזי,187
673,2018,אל -עריאן,188
674,2018,אל -רום,381
675,2018,אלומה,503
676,2018,אלומות,381
677,2018,אלון הגליל,1086
678,2018,אלון מורה,1912
679,2018,אלון שבות,3213
680,2018,אלוני אבא,970
681,2018,אלוני הבשן,439
682,2018,אלוני יצחק,270
683,2018,אלונים,482
684,2018,אליאב,361
685,2018,אליכין,3483
686,2018,אלי-עד,375
687,2018,אליפז,150
688,2018,אליפלט,623
689,2018,אליקים,884
690,2018,אלישיב,734
691,2018,אלישמע,1210
692,2018,אלמגור,383
693,2018,אלמוג,250
694,2018,אלעד,46896
695,2018,אלעזר,2571
696,2018,אלפי מנשה,7801
697,2018,אלקוש,302
698,2018,אלקנה,3884
699,2018,אמונים,966
700,2018,אמירים,813
701,2018,אמנון,313
702,2018,אמציה,465
703,2018,אניעם,536
704,2018,אספר,729
705,2018,אעבלין,12990
706,2018,אפיק,295
707,2018,אפיקים,1493
708,2018,אפק,630
709,2018,אפרת,9116
710,2018,ארבל,732
711,2018,ארגמן,128
712,2018,ארז,494
713,2018,אריאל,19626
714,2018,ארסוף,178
715,2018,אשבול,562
716,2018,אשבל,113
717,2018,אשדוד,222883
718,2018,אשדות יעקב (איחוד),996
719,2018,אשדות יעקב (מאוחד),475
720,2018,אשחר,886
721,2018,אשכולות,521
722,2018,אשל הנשיא,349
723,2018,אשלים,525
724,2018,אשקלון,137945
725,2018,אשרת,551
726,2018,אשתאול,1267
727,2018,באקה אל-גרביה,29035
728,2018,באר אורה,871
729,2018,באר גנים,1024
730,2018,באר טוביה,1177
731,2018,באר יעקב,22851
732,2018,באר מילכה,182
733,2018,באר שבע,207551
734,2018,בארות יצחק,412
735,2018,בארותיים,1151
736,2018,בארי,1018
737,2018,בוסתן הגליל,1257
738,2018,בועיינה-נוג'ידאת,9467
739,2018,בוקעאתא,6485
740,2018,בורגתה,1118
741,2018,בחן,1008
742,2018,בטחה,775
743,2018,"בי""ס אזורי מקיף (אשר)",-
744,2018,ביצרון,1227
745,2018,ביר אל-מכסור,9118
746,2018,ביר הדאג',5265
747,2018,בירייה,825
748,2018,בית אורן,470
749,2018,בית אל,6101
750,2018,בית אלעזרי,1543
751,2018,בית אלפא,727
752,2018,בית אריה,4955
753,2018,בית ברל,192
754,2018,בית גוברין,434
755,2018,בית גמליאל,982
756,2018,בית ג'ן,11714
757,2018,בית דגן,7143
758,2018,בית הגדי,793
759,2018,בית הלוי,813
760,2018,בית הלל,799
761,2018,בית העמק,552
762,2018,בית הערבה,222
763,2018,בית השיטה,1251
764,2018,בית זיד,82
765,2018,בית זית,1694
766,2018,בית זרע,577
767,2018,בית חולים פוריה,-
768,2018,בית חורון,1274
769,2018,בית חירות,897
770,2018,בית חלקיה,1176
771,2018,בית חנן,575
772,2018,בית חנניה,902
773,2018,בית חשמונאי,2195
774,2018,בית יהושע,1076
775,2018,בית יוסף,440
776,2018,בית ינאי,404
777,2018,בית יצחק-שער חפר,2112
778,2018,בית לחם הגלילית,788
779,2018,בית מאיר,778
780,2018,בית נחמיה,887
781,2018,בית ניר,590
782,2018,בית נקופה,690
783,2018,בית עובד,278
784,2018,בית עוזיאל,623
785,2018,בית עזרא,1125
786,2018,בית עריף,1120
787,2018,בית צבי,273
788,2018,בית קמה,1445
789,2018,בית קשת,648
790,2018,בית רבן,1222
791,2018,בית רימון,684
792,2018,בית שאן,17704
793,2018,בית שמש,114371
794,2018,בית שערים,749
795,2018,בית שקמה,876
796,2018,ביתן אהרן,376
797,2018,ביתר עילית,54557
798,2018,בלפוריה,491
799,2018,בן זכאי,1078
800,2018,בן עמי,776
801,2017,אבו גוש,7140
802,2017,אבו סנאן,13518
803,2017,אבו קורינאת (יישוב),1440
804,2017,אבו תלול,391
805,2017,אבטין,2748
806,2017,אבטליון,394
807,2017,אביאל,851
808,2017,אביבים,502
809,2017,אביגדור,779
810,2017,אביחיל,1386
811,2017,אביטל,520
812,2017,אביעזר,855
813,2017,אבירים,214
814,2017,אבן יהודה,13542
815,2017,אבן מנחם,270
816,2017,אבן ספיר,730
817,2017,אבן שמואל,1749
818,2017,אבני איתן,681
819,2017,אבני חפץ,1759
820,2017,אבנת,193
821,2017,אבשלום,264
822,2017,אדורה,421
823,2017,אדירים,271
824,2017,אדמית,181
825,2017,אדרת,914
826,2017,אודים,1356
827,2017,אודם,126
828,2017,אוהד,416
829,2017,אום אל-פחם,53306
830,2017,אום אל-קוטוף,1052
831,2017,אום בטין,3274
832,2017,אומן,323
833,2017,אומץ,790
834,2017,אופקים,26625
835,2017,אור הגנוז,514
836,2017,אור הנר,718
837,2017,אור יהודה,36536
838,2017,אור עקיבא,17568
839,2017,אורה,1416
840,2017,אורון,-
841,2017,אורות,491
842,2017,אורטל,335
843,2017,אורים,470
844,2017,אורנים,182
845,2017,אורנית,8652
846,2017,אושה,495
847,2017,אזור,12569
848,2017,אזור תעסוקה משגב(תרדיון),-
849,2017,אזור תעשייה אכזיב (מילואות),-
850,2017,אזור תעשייה נעמן (מילואות),-
851,2017,אחווה,332
852,2017,אחוזם,543
853,2017,אחוזת ברק,2135
854,2017,אחיהוד,850
855,2017,אחיטוב,1052
856,2017,אחיסמך,1376
857,2017,אחיעזר,1770
858,2017,איבים,135
859,2017,אייל,485
860,2017,איילת השחר,1202
861,2017,אילון,956
862,2017,אילון תבור*,-
863,2017,אילות,319
864,2017,אילנייה,478
865,2017,אילת,50072
866,2017,אירוס,370
867,2017,איתמר,1151
868,2017,איתן,442
869,2017,איתנים,72
870,2017,אכסאל,13961
871,2017,אל סייד,3692
872,2017,אל -עזי,188
873,2017,אל -עריאן,184
874,2017,אל -רום,372
875,2017,אלומה,493
876,2017,אלומות,354
877,2017,אלון הגליל,1071
878,2017,אלון מורה,1861
879,2017,אלון שבות,3180
880,2017,אלוני אבא,983
881,2017,אלוני הבשן,422
882,2017,אלוני יצחק,276
883,2017,אלונים,481
884,2017,אליאב,298
885,2017,אליכין,3417
886,2017,אלי-עד,382
887,2017,אליפז,152
888,2017,אליפלט,614
889,2017,אליקים,882
890,2017,אלישיב,730
891,2017,אלישמע,1206
892,2017,אלמגור,374
893,2017,אלמוג,239
894,2017,אלעד,45854
895,2017,אלעזר,2568
896,2017,אלפי מנשה,7780
897,2017,אלקוש,309
898,2017,אלקנה,3898
899,2017,אמונים,938
900,2017,אמירים,795
901,2017,אמנון,300
902,2017,אמציה,567
903,2017,אניעם,513
904,2017,אספר,688
905,2017,אעבלין,12830
906,2017,אפיק,292
907,2017,אפיקים,1452
908,2017,אפק,597
909,2017,אפרת,8658
910,2017,ארבל,714
911,2017,ארגמן,131
912,2017,ארז,478
913,2017,אריאל,19220
914,2017,ארסוף,163
915,2017,אשבול,527
916,2017,אשבל,104
917,2017,אשדוד,221591
918,2017,אשדות יעקב (איחוד),984
919,2017,אשדות יעקב (מאוחד),445
920,2017,אשחר,879
921,2017,אשכולות,515
922,2017,אשל הנשיא,335
923,2017,אשלים,495
924,2017,אשקלון,134454
925,2017,אשרת,545
926,2017,אשתאול,1233
927,2017,באקה אל-גרביה,28526
928,2017,באר אורה,734
929,2017,באר גנים,660
930,2017,באר טוביה,1108
931,2017,באר יעקב,20378
932,2017,באר מילכה,157
933,2017,באר שבע,205810
934,2017,בארות יצחק,415
935,2017,בארותיים,1137
936,2017,בארי,1018
937,2017,בוסתן הגליל,1198
938,2017,בועיינה-נוג'ידאת,9271
939,2017,בוקעאתא,6431
940,2017,בורגתה,1123
941,2017,בחן,951
942,2017,בטחה,752
943,2017,"בי""ס אזורי מקיף (אשר)",-
944,2017,ביצרון,1234
945,2017,ביר אל-מכסור,8903
946,2017,ביר הדאג',5146
947,2017,בירייה,820
948,2017,בית אורן,470
949,2017,בית אל,6115
950,2017,בית אלעזרי,1524
951,2017,בית אלפא,743
952,2017,בית אריה,4842
953,2017,בית ברל,196
954,2017,בית גוברין,444
955,2017,בית גמליאל,960
956,2017,בית ג'ן,11568
957,2017,בית דגן,7098
958,2017,בית הגדי,761
959,2017,בית הלוי,802
960,2017,בית הלל,790
961,2017,בית העמק,536
962,2017,בית הערבה,183
963,2017,בית השיטה,1223
964,2017,בית זיד,82
965,2017,בית זית,1637
966,2017,בית זרע,579
967,2017,בית חולים פוריה,-
968,2017,בית חורון,1240
969,2017,בית חירות,886
970,2017,בית חלקיה,1156
971,2017,בית חנן,569
972,2017,בית חנניה,903
973,2017,בית חשמונאי,2186
974,2017,בית יהושע,1037
975,2017,בית יוסף,448
976,2017,בית ינאי,392
977,2017,בית יצחק-שער חפר,2112
978,2017,בית לחם הגלילית,788
979,2017,בית מאיר,804
980,2017,בית נחמיה,886
981,2017,בית ניר,594
982,2017,בית נקופה,654
983,2017,בית עובד,303
984,2017,בית עוזיאל,635
985,2017,בית עזרא,1092
986,2017,בית עריף,1124
987,2017,בית צבי,252
988,2017,בית קמה,1400
989,2017,בית קשת,605
990,2017,בית רבן,1145
991,2017,בית רימון,656
992,2017,בית שאן,17587
