year,city,population,count_age_precent,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent,number_of_self_employees,number_of_employees,employees_average_monthly_wage,employees_average_monthly_wage_change_in_percent,self_employees_average_monthly_wage,self_employees_average_monthly_wage_change_in_percent
2019,אלקנה,3838,39.37,2,68.87,96.83,399,..,6.72,145,1985,12268.21,-0.17,13370.67,-3.42
2019,אעבלין,13305,46.79,4,12.12,58.13,1468,40.3,2.54,503,5497,6617.76,1.59,7890.89,-5.44
2019,אפרת,10806,41.81,3,49.67,84.42,674,63.1,5.37,410,5092,10598.02,2.35,14743.35,7.58
2019,אריאל,20540,46.06,2,24.13,90.36,439,37,11.98,657,10596,9670.02,2.89,9951.24,3.95
2019,אשדוד,225939,37.96,58,15.32,56.99,11787,35.1,2.11,7454,109476,8922.5,1.91,9738.22,0.97
2019,אשקלון,144073,38.67,21,19.22,72.04,5379,38.4,2.37,5044,69453,8847.26,2.83,9777.04,0.85
2019,באקה אל-גרביה,29950,47.43,6,12.74,67.66,1997,32.7,2.96,1452,15273,7172.39,2.38,9399.45,-1.44
2019,באר יעקב,27768,43.29,8,33.83,71.27,1461,19.6,1.91,1032,10789,12107.93,3.23,12913.09,2.67
2019,באר שבע,209687,39.88,31,21.6,76.12,8194,34.3,3.66,6013,109665,9546.31,2.57,10497.27,4.05
2019,בועיינה-נוג'ידאת,9812,50.08,2,10.68,64.56,659,31.8,2.91,253,4498,6057.05,1.64,8578.53,0.81
2019,בוקעאתא,6610,46.80,1,6.18,84.75,327,..,2.62,341,2813,5807.57,3.04,7291.52,3.76
2019,ביר אל-מכסור,9522,47.27,1,7.88,41.67,533,15.5,1.74,224,4169,6455.2,1.3,8204.48,-7.89
2019,בית אל,5973,50.49,4,47.92,89.76,1026,39.3,6.44,138,2932,7988.32,5.14,8690.79,1.17
2019,בית אריה-עופרים,5253,40.81,-,29.95,82.43,-,..,3.12,249,2574,11357.39,1.58,13528.3,9.83
2019,בית ג'ן,12001,49.11,1,15.76,92.31,606,36.1,3.52,400,5839,7593.13,0.64,6678.4,8.11
2019,בית דגן,7285,40.55,-,26.05,85.84,-,42.5,3.13,394,3562,10489.59,2.13,11801.08,-0.04
2019,בית שאן,18464,41.20,6,13.14,64.18,804,30.7,2.44,610,10402,8107.6,4.16,10003.22,2.75
2019,בית שמש,124957,39.78,57,10.43,35.69,7329,26.6,1.63,2954,38535,7298.78,2.34,8825.37,-0.88
2019,ביתר עילית,59270,38.61,42,5.91,11.14,4595,19.3,0.93,1042,16188,5314.51,1.75,7135.22,-3.88
2019,בני ברק,204639,41.41,107,7.19,6.22,18143,9.6,0.81,4289,65137,6468.88,2.69,8596.71,-0.29
2019,"בני עי""ש",6978,36.05,-,12.23,66.28,-,..,2.25,215,3968,8419.18,1.77,8541.01,11.31
2019,בנימינה-גבעת עדה*,15847,38.46,2,60.46,81.97,776,42,3.08,936,6698,13951.21,2.03,13009.55,-1.29
2019,"בסמ""ה",10010,48.27,2,12.67,57.75,622,25.5,2.41,312,4270,6175.78,0.26,8476.05,-0.83
2019,בסמת טבעון,7916,47.45,1,8.11,63.01,351,29.5,2.05,225,3583,6491.08,0.62,8308.44,-7.58
2019,בענה,8381,48.76,2,7.86,60.33,676,39.1,2.85,205,2240,5702.54,5.72,9845,6.74
2019,בת ים,129013,36.03,17,9.8,74.03,3578,27.2,1.45,5872,68837,8233.33,3.31,9190.45,1.1
2019,גבעת זאב,18420,38.92,1,22.05,46.94,11,34.9,2.91,715,7545,9420.65,2.32,9998.48,-1.95
2019,גבעת שמואל,26578,39.55,3,57.95,90.76,844,62.8,5.6,1160,11980,13311.35,2.59,13834.31,-4.23
2019,גבעתיים,60644,42.25,5,55.35,92.79,2585,52.2,4.1,3601,28542,14052.98,3.34,13301.28,0.28
2019,ג'דיידה-מכר,21163,47.44,4,10.03,61.5,1120,33.4,2.24,731,9662,6258.65,2.52,9194.24,-1.6
2019,גדרה,28313,40.01,6,42.77,87.7,1828,43.7,3.04,1070,12168,11726.32,1.04,11496.27,-1.21
2019,ג'ולס,6465,48.95,1,19.55,71.3,294,..,3.97,197,3212,8365.49,0.36,6014.9,1.51
2019,ג'לג'וליה,10148,45.78,1,10.28,61.71,513,23.6,2.5,383,4300,5829.96,2.46,8300.37,5.77
2019,גן יבנה,23869,41.44,2,32.69,84.54,1162,43.2,3.79,1002,11992,11358.82,0.58,11066.32,-1.77
2019,גני תקווה,20398,35.74,2,53.99,83.61,674,56.2,2.91,1052,8754,14415.26,3.16,14689.08,-5.02
2019,ג'סר א-זרקא,14930,48.37,2,2.09,37.5,708,9.4,0.83,132,7136,5766.84,2.15,8671.52,15.1
2019,ג'ש (גוש חלב),3105,43.84,1,25.58,68.29,172,..,4.4,221,1501,8899.89,0.54,10272.32,-9.33
2019,ג'ת,12100,46.73,1,24.6,68.42,662,39.5,4.38,347,2960,8069.11,3.93,8540.55,1.73
2019,דאלית אל-כרמל,17653,45.92,2,14.85,82.45,498,27.4,3.11,1108,9672,8106.3,0.86,8076.78,0.09
2019,דבורייה,10510,45.19,1,16.21,59.36,638,40,3.35,511,4664,7037.56,0.14,9065.55,-6.24
2019,דייר אל-אסד,12514,48.06,1,13.04,65.16,623,27,2.94,315,3404,7697.75,8.97,9966.83,6.41
2019,דייר חנא,10339,47.49,1,15.33,89.33,534,29.4,3.32,366,4910,6896.15,1.86,8727.62,-0.07
2019,דימונה,34500,41.33,10,11.67,69.33,1747,26,2.09,835,19341,9563.13,1.52,9706.25,2.52
2019,הוד השרון,63175,37.26,6,54.35,86.5,2740,52.1,3.18,3632,28596,13867.6,2.09,13441.11,2
2019,הר אדר,4088,37.01,-,55.7,90.48,-,..,4.97,225,1897,13956.9,-3.04,14682.12,-4.45
2019,הרצלייה,97470,37.88,10,44.95,84.38,3426,51.1,3.4,5978,45920,12760.05,3.46,12581.19,3.34
2019,זכרון יעקב,23206,37.36,8,52.58,85.53,1530,49.3,3.56,1287,10388,13301.36,-0.61,11749.29,2.32
2019,זמר,7094,45.79,1,12.73,57.86,660,33.6,2.7,347,2983,7133.98,2,8180.14,-0.59
2019,זרזיר,8119,47.75,1,10.02,59.73,499,23,2.2,177,3687,6512.98,1.17,9997.61,7.07
2019,חדרה,97335,39.25,21,22.25,68.27,3912,31.4,2.24,4157,48802,9439.26,2.51,9712.55,0.6
2019,חולון,196282,38.33,22,23.15,76.67,6453,41.4,2.3,9984,96404,10046.35,3.2,10748.69,2.53
2019,חורה,22337,42.72,7,10.6,54.46,1885,23,1.99,273,5382,6088.76,-2.6,11015.72,17.56
2019,חורפיש,6410,48.79,1,22.69,91.15,358,44.5,4.37,278,2809,8486.62,-0.7,6947.71,17.39
2019,חיפה,285316,38.00,50,33.89,74.74,12278,46.7,4.81,11621,137442,10798.16,2.96,11029.11,-0.47
2019,חצור הגלילית,9272,40.39,5,13.11,50.78,846,19.2,2.25,352,5046,7823.19,1.98,8460.28,-4.11
2019,חריש,13232,42.00,-,28.99,64.29,-,..,1.76,376,4473,9224.82,-0.59,8395.07,-6.16
2019,טבריה,44779,39.22,16,10.07,61.43,2604,29.1,1.84,1742,22350,7508.23,5.68,8512.48,4.43
2019,טובא-זנגרייה,6776,49.26,1,6.86,62.7,281,..,2.02,151,3008,6124.82,-1.14,9031.91,-8.31
2019,טורעאן,14240,46.85,1,14.52,65.27,658,26.9,2.89,652,5665,6393.03,0.97,10839.02,-8.38
2019,טייבה,43957,45.79,4,13.49,74.28,2624,29.9,3.01,1763,19364,6533.4,3.63,8478.28,0.14
2019,טירה,26552,46.95,7,16.47,62.48,1563,34.1,3.05,1163,11392,6984.08,1.04,8720.55,0.44
2019,טירת כרמל,23112,40.54,3,17.39,75.53,584,24.3,2.21,750,11760,9024.84,5.86,8893.37,-3.19
2019,טמרה,34392,47.30,9,12.19,60.25,2284,31.3,2.88,1177,14717,6122.47,1.59,9353.4,-2.74
2019,יאנוח-ג'ת,6679,49.20,1,16.21,82.76,336,35.4,2.82,204,3093,7991.74,1.86,7102.5,-0.58
2019,יבנאל,4243,36.46,3,15.85,54.93,142,..,1.85,208,1481,7167.92,2.69,7360.1,-1.67
2019,יבנה,47585,40.10,7,29.65,79.77,1456,40.3,2.51,1944,23260,10496.54,3.43,11591.36,1.66
2019,יהוד,29928,37.16,3,35.07,85.46,1805,47.9,2.9,1645,15374,11837.49,2.9,12343.53,0.16
2019,יסוד המעלה,1730,38.85,-,46.29,-,-,..,4.1,176,2449,10914.55,0.73,12796.62,-6.24
2019,יפיע,19151,47.05,4,12.16,69.81,1027,37,3.05,695,8210,6442.32,2.09,9490.9,1.73
2019,יקנעם עילית,23796,39.87,1,38.99,80.56,848,37.8,2.87,699,11956,11690.85,2.87,11418.72,-1.49
2019,ירוחם,10294,43.32,3,21.43,65.19,470,39.9,3.1,213,5090,8686.85,2.81,8920.95,2.86
2019,ירושלים,936425,42.62,353,16.35,38.32,58932,22.3,2.68,27472,331224,7990.49,2.82,9618.77,0.35
2019,ירכא,17171,48.97,7,12.34,80.92,1180,26.3,3.05,709,7149,7084.69,1.25,8040.71,-7.73
2019,כאבול,14095,47.33,1,15.17,80.47,650,35.6,3.18,407,5172,6669.41,1.65,7816.33,-0.13
2019,כאוכב אבו אל-היג'א,3589,45.58,1,20.99,92.31,247,..,4.01,120,1466,7426.09,3.67,7410.32,-11.26
2019,כוכב יאיר,8702,37.42,-,62.77,93.37,-,55,5.24,716,5843,13721.87,1.2,14559.47,-2.12
2019,כסיפה,21866,43.85,4,12.2,51.69,1660,21.1,2.28,144,4982,6198.66,0.95,10762.61,13.57
2019,כסרא-סמיע,8818,49.78,2,13.11,93.29,480,18.3,2.47,289,3690,8243.97,2.57,6726.08,-7.19
2019,כעביה-טבאש-חג'אג'רה,5504,47.55,1,12.83,66.67,358,..,2.61,120,2394,6668.37,2.38,7325.77,-14.87
2019,כפר ברא,3678,48.89,-,15.39,65.79,-,..,3.4,180,1563,6887.62,3.16,10032.21,5.49
2019,כפר ורדים,5486,36.28,2,55.31,82.46,398,..,4.45,336,2833,13490.73,0.91,9758,-0.1
2019,כפר יאסיף,10133,46.06,1,20.97,71.82,619,33.6,3.08,629,4764,7263.71,0.59,8592.23,0.93
2019,כפר יונה,24778,40.99,1,35.76,80.3,838,37.3,2.29,1231,10873,11320.79,2.64,11976.82,4.79
2019,כפר כמא,3373,45.07,-,23.19,53.57,-,..,4.81,133,1670,9045.25,3.09,9562.28,2.71
2019,כפר כנא,22751,47.29,5,10.77,65.75,1585,29.6,2.53,796,9233,5824.63,0.15,9256.89,-2.54
2019,כפר מנדא,20188,49.57,3,10.46,79.09,1294,18.3,2.13,693,7650,5390.65,0.43,10194.13,4.63
2019,כפר סבא,101432,36.01,14,47.69,81.36,4085,45.6,2.64,5513,49314,12686.89,1.92,12260.36,-0.43
2019,כפר קאסם,23823,47.90,4,12.02,70.66,1689,23.1,2.75,1059,10295,6392.22,1.07,8338.99,1.66
2019,כפר קרע,19018,47.05,6,17.97,59.82,1223,32.5,2.63,823,8917,7506.78,1.19,9286.05,2.52
2019,כפר שמריהו,1938,31.89,-,46.97,-,-,..,3.58,148,767,16403.42,3.46,17746.87,28.81
2019,כפר תבור,4311,37.44,-,52.48,86.84,-,..,4.53,255,2164,12758.01,1.44,13128.45,0.28
2019,כרמיאל,46252,37.68,11,21.33,73.23,1942,37,3.02,1637,24388,9448.67,2.95,8967.3,-1.91
2019,להבים,6415,38.64,-,70.26,87.5,-,58.3,6.35,249,3353,16035.35,1.46,17340.05,-1.46
2019,לוד,77223,39.61,18,11.39,57.07,4304,25.3,1.97,2255,37492,8088.01,4.22,9187.96,1.7
2019,לקיה,14075,43.85,3,9.65,43.91,992,14.1,1.87,173,4327,5947.31,0.04,9789.11,-10.37
2019,מבשרת ציון,24052,38.55,3,42.52,80.73,1025,51.7,4.22,1318,12907,12147.89,0.94,12561.41,-0.71
2019,מגאר,22957,49.91,4,13.24,76.59,1167,37.7,2.98,888,10043,7065.69,2.1,8512.63,-3.19
2019,מג'ד אל-כרום,15455,47.78,7,10.04,65.19,1114,28.2,2.67,810,10924,6141.86,0.1,9098.21,-1.42
2019,מגדל,1952,37.61,-,19.59,-,-,..,2.75,178,3226,6077.05,0.18,7924.66,-22.13
2019,מגדל העמק,25675,39.37,9,13.83,64.94,1480,30.2,2.13,729,13679,8065.23,3.08,8855.71,3.36
2019,מג'דל שמס,11180,45.65,1,7.42,68.69,554,41.4,3.05,863,4718,5573.21,2.03,7824.47,1.4
2019,מודיעין עילית,76374,37.54,39,3.79,3.2,6014,53.8,3.78,1173,14467,5092.41,1.71,5868.17,-4.01
2019,מודיעין-מכבים-רעות*,93277,38.87,15,54.79,90.92,5702,10.2,0.43,3874,43770,14092.2,1.23,13282.52,-1.42
2019,מזכרת בתיה,14837,38.79,2,53.79,83.89,744,50,3.56,443,3452,13397.33,2.47,12445.85,12.35
2019,מזרעה,3929,46.71,-,10.2,60.38,-,..,1.97,167,1994,6753.67,0.6,7429.35,-10.24
2019,מטולה,1615,46.01,-,38.79,-,-,..,8.94,110,943,9523.49,5.51,10704.98,0.91
2019,מיתר,9418,39.03,1,63.52,88.24,449,50,4.63,374,4869,15289.65,1.81,13070.84,-5.07
2019,מסעדה,3714,45.21,1,5.42,87.72,307,..,2.73,271,1527,5601.18,1.27,7138.17,-2.59
2019,מעיליא,3244,40.72,1,31.46,75.44,370,..,3.97,167,1576,9671.43,1.3,10387.55,-6.87
2019,מעלה אדומים,38155,41.02,8,24.87,87.33,2130,43.9,3.87,1209,20374,9957.08,2.81,10434.76,-2.29
2019,מעלה אפרים,1260,41.11,1,18.74,-,104,..,2.76,44,768,8003.64,3.84,7052.35,-6.82
2019,מעלה עירון,15065,48.23,2,10.61,59.94,840,23.7,2.03,492,6297,6037.92,-0.41,9803.62,3.12
2019,מעלות-תרשיחא,21836,38.75,4,18.36,69.73,962,42.6,2.75,751,11594,8774.8,1.67,9574.36,-2.27
2019,מצפה רמון,5211,49.07,2,22.75,87.93,332,30.9,3.28,200,2711,7769.81,1.56,9664.57,4.53
2019,משהד,8373,48.19,3,10.59,65.08,686,35,2.7,276,3155,6007.4,0.21,9458.33,-8.88
2019,נהרייה,58096,36.93,8,21.25,71.49,1940,39.7,2.64,2276,29907,9912.39,2.55,10994.92,1.87
2019,נוף הגליל,41734,37.60,6,16.56,64.78,940,37,2.42,1291,22440,8107.28,1.89,9345.65,-1.28
2019,נחף,13113,48.75,3,12.44,41.11,848,38.1,3.11,452,5353,6226.32,-0.57,7759.81,0.13
2019,נס ציונה,50351,37.60,7,50.99,87.75,1990,53.5,3.11,2207,22094,13332.96,0.66,13096.98,0.13
2019,נצרת,77445,45.95,24,15.01,56.49,6340,34,2.82,3356,36034,6959.33,2.52,9595.69,-4.03
2019,נשר,24148,39.57,2,29.66,78.48,603,48.4,4.68,915,12525,11110.01,3.32,10847.47,6.69
2019,נתיבות,37542,42.18,13,14.68,62.59,1568,31.4,2.27,1011,16311,7393.7,4.03,9807.3,-1.15
2019,נתניה,221353,37.27,29,22.35,73.36,8172,37.6,2.27,9814,103655,9293.14,3.23,10137.89,2.33
2019,סאג'ור,4270,52.28,1,16.12,78.48,173,..,3.68,144,2066,7987.95,2.3,6161.46,-2.19
2019,סביון*,4036,33.72,-,51.65,94.05,-,..,4,253,1776,17104.62,-0.24,16091.84,-5.87
2019,סח'נין,31702,47.07,6,15.78,70.92,1942,39.5,3.44,1291,14687,6711.56,1.49,8628.04,-3.95
2019,ע'ג'ר,2659,51.34,1,9.81,87.76,152,..,2.69,77,1176,7020.31,1.48,8311.64,18.7
2019,עומר,7530,34.22,1,59.72,86.89,399,..,4.06,402,4027,15739.48,-3.06,14222.79,-8.6
2019,עיילבון,5752,46.05,1,21.47,55.34,273,..,3.54,245,2648,8281.39,1.42,9176.8,2.04
2019,עילוט,8356,48.15,1,2.94,62.58,443,16,1.17,255,3070,5809.17,0.25,11325.61,-5.75
2019,עין מאהל,13335,48.25,3,9.3,34.93,900,21.3,1.96,332,5837,5646.35,-0.24,7514.45,-8.7
2019,עין קנייא,2098,46.42,-,6.65,89.19,-,..,2.88,120,927,6121.08,2.38,6860.52,-3.87
2019,עכו,49380,40.89,11,13.37,70.88,2458,34.2,2.42,1674,25456,7907.22,2.34,9746.57,2.27
2019,עמנואל,3906,38.00,1,6.68,43.28,90,..,0.79,90,1449,5541.34,4.91,5822.56,14.11
2019,עספיא,12503,45.88,2,14.38,84.51,619,26.8,2.96,418,4446,8509.35,6.13,7275.92,-8.03
2019,עפולה,54250,39.83,10,16.57,65.64,1959,33.5,2.89,1718,26295,8450.4,2.47,9626.77,0.67
2019,עראבה,25833,47.44,5,16.18,77.65,1543,30.2,2.96,939,10326,6558.36,0.1,10098.81,-0.21
2019,ערד,26756,37.06,6,12.36,51.48,1096,22.9,1.53,926,13539,7962.25,-0.72,7826.32,-3.68
2019,ערערה,25245,46.58,3,14.85,68.07,1037,17.9,2.32,661,8909,6843.41,0.98,8044.27,-3.1
2019,ערערה-בנגב,18332,44.82,5,7.26,25.41,1449,12.4,1.17,157,4822,5924.15,-2.78,10246.82,-11.39
2019,פוריידיס,13247,47.35,4,8.63,72.83,803,17,1.9,454,6156,6400.28,2.63,8431.06,2.22
2019,פסוטה,3172,44.39,-,23.54,74.19,-,..,4.56,223,1618,8581.73,1.86,9459.17,-5.44
2019,פקיעין (בוקייעה),5893,46.84,1,20.12,92.71,240,43.1,3.62,365,2597,8086.83,1.56,7702.11,2.64
2019,פרדס חנה-כרכור,43011,38.10,8,41.91,75.48,1176,30.1,2.43,2528,18680,10824.85,3.02,10337.8,-2.26
2019,פרדסייה,5930,39.71,-,48.06,90.8,-,48.2,4.3,416,3504,12905.72,2.56,11115.36,-1.58
2019,פתח תקווה,247956,37.60,54,33.22,74.84,11421,41.8,2.52,10411,122522,10999.69,2.69,11831.51,3.55
2019,צפת,36094,39.05,14,15.39,48.19,2093,33.1,2.72,1191,14790,6750.82,3.88,8167.45,4.36
2019,קדומים,4544,38.16,2,54.37,84.78,454,..,4.17,161,2129,9101.69,-2.34,9843.3,-10.6
2019,קדימה-צורן,22683,38.93,1,48.97,88.56,985,35.8,3.17,1334,11192,12692.31,2.44,12930.46,0.04
2019,קלנסווה,23143,46.68,4,11.7,59.06,1471,26,2.92,880,9807,6808,1.47,8845.16,4.21
2019,קצרין,7297,37.00,2,17.46,66.67,620,..,3.36,316,3961,7566.94,2.98,9956.11,11.95
2019,קריית אונו,40409,37.11,3,56.84,89.46,1788,55.8,3.3,1966,17445,14504.47,1.05,13912.59,2.62
2019,קריית ארבע,7326,42.04,2,26.43,68.33,418,35.7,4.5,179,3531,7167.87,4.71,8464.45,-6.54
2019,קריית אתא,59030,38.56,8,20.88,76.96,1843,42.5,2.53,2062,29219,9523.33,3.6,9907.56,1.53
2019,קריית ביאליק,40231,36.89,2,26.57,78.89,1414,34.3,2.63,1450,20347,10037.94,2.57,10325.37,0.12
2019,קריית גת,57105,39.95,14,13.83,63.8,2509,23.4,2.14,1723,28136,7950.23,3.77,9860.69,0.86
2019,קריית טבעון,18130,35.30,3,54.58,80.8,869,50.1,3.9,1024,7623,12598.1,1.66,10792.63,-1.67
2019,קריית ים,39897,35.50,3,13.46,66.92,975,35.2,1.93,1262,20276,8485.43,2.81,8407.44,-0.5
2019,קריית יערים,6128,43.38,2,15.67,24.07,207,..,2.13,192,1695,6692.15,3.73,8930.34,-14.72
2019,קריית מוצקין,43303,36.60,4,28.99,79.15,1602,38.3,2.78,1512,22267,10504.19,2.11,10954.21,5.46
2019,קריית מלאכי,23819,41.76,7,12.15,65.2,885,27.1,2.07,819,12168,7396.29,4.95,9620.93,5.49
2019,קריית עקרון,11001,39.99,1,15.5,72.46,197,35.7,2.68,525,5946,8869.99,2.84,10314.06,3.59
2019,קריית שמונה,22512,40.94,6,14.34,63.4,887,38.5,4.43,781,12637,8370.9,3.22,9574.72,0.38
2019,קרני שומרון,8135,42.94,1,38.94,76.32,306,..,4.64,312,4159,9800.8,3.88,9259.16,2.21
2019,ראמה,7728,45.52,3,20.53,75,914,38.7,3.39,413,3865,7972.82,1.11,8076.08,0.23
2019,ראש העין,61801,42.49,5,34.39,75.25,1685,38.4,3.16,2498,29013,11269.58,3.93,11079.51,-1.98
2019,ראש פינה,3148,36.75,-,38.35,72.73,-,..,4.28,2757,24422,11161.36,2.4,11755.46,0.79
2019,ראשון לציון,254384,38.92,30,26.26,81.73,9447,44.2,2.99,12342,132966,11058.81,2.93,11758.47,-0.3
2019,רהט,71437,45.92,11,7.49,57.43,3644,16.2,1.77,986,22321,5751.36,1.69,10445.82,-6.34
2019,רחובות,143904,38.08,28,39.02,77.01,6126,42.4,3.16,5564,67200,11348.2,3.3,11873.43,5.88
2019,ריינה,19001,47.14,3,8.92,59.32,1022,22.4,2.24,612,6894,6323.53,0.5,9294.8,-2.16
2019,רכסים,12668,41.40,9,7.82,15.93,855,20.7,1.12,257,3954,5740.25,1.64,6628.55,-2.73
2019,רמלה,76246,41.25,15,9.04,64.85,3293,25.4,1.73,2901,37716,8094.18,3.29,9922.78,0.02
2019,רמת גן,163480,41.67,15,42.17,83.9,6455,51.6,3.87,9427,78651,12339.15,4.08,12657.21,1.42
2019,רמת השרון,47245,34.42,5,55.9,79.26,2911,58.3,3.07,3155,20446,14348.31,-0.23,14330.95,4.66
2019,רמת ישי,7785,38.63,-,52.18,79.8,-,..,4.76,350,3942,13145.61,3.22,12372.52,12.93
2019,רעננה,75421,35.62,13,43.8,87.75,3644,55.8,3.54,4786,36620,12925.76,2.46,13019.42,0.86
2019,שבלי - אום אל-גנם,6053,45.22,1,11.03,56.25,355,..,2.26,246,2746,6707.98,0.64,10095.43,-0.06
2019,שגב-שלום,10936,45.00,3,7.6,36.41,1383,12.2,1.3,102,3209,5532.97,-0.87,9615.59,3.52
2019,שדרות,27635,44.05,4,17.65,78.44,752,34.2,3.99,843,13761,8424.61,4.1,10708.22,0.15
2019,שוהם,21045,40.45,2,59.41,91.91,1261,64.8,5.97,1030,11795,14543.86,1.66,14584.54,-1.87
2019,שלומי,6511,39.12,1,16.21,66,132,..,2.11,273,3424,9337.72,4.2,11004.43,-14.04
2019,שעב,7061,48.76,1,9.96,51.24,366,..,2.9,227,3049,6097.51,3.98,8150.92,4.95
2019,שפרעם,42137,46.65,9,11.31,56.5,2204,27.6,2.45,1463,18800,7105.65,3.25,9125.57,-4.78
2019,תל אביב -יפו,460613,46.64,68,44.63,74.39,13872,44.9,4.78,32674,236408,12590.86,0.72,12756.82,-0.31
2019,תל מונד,13144,39.07,1,53.31,91.48,690,54.8,3.56,817,6424,13787.64,1.87,13978.65,1.45
2019,תל שבע,20808,44.59,5,7.39,40.58,1358,11.2,1.59,212,5938,5288.02,-0.24,12196.38,-7.73
2018,אבו גוש,7543,47.05,3,39.34,24.5,294,10.7,20.4,157,3327,7271.28,2.25,10385,16.01
2018,אבו סנאן,13915,48.82,3,47.56,28.85,577,11.1,10.1,562,5621,6831.89,1.33,8302.72,6.94
2018,אבן יהודה,13700,36.63,3,76.92,26.2,1153,53.9,14.2,945,6366,14482.88,0,12087.38,-1.34
2018,אום אל-פחם,55183,47.45,13,44.27,27.44,3704,7.7,10.7,1845,20519,5851.76,2.73,8516.56,0.1
2018,אופקים,29021,41.91,11,33.77,22.97,1424,10.3,5.8,357,3391,10047.43,3,10730.33,10.88
2018,אור יהודה,36864,41.74,7,51.3,23.64,1111,12.6,11.8,1772,17634,8543.17,2.05,9751.84,0.32
2018,אור עקיבא,18237,40.37,5,61.3,20.46,798,12.7,9.1,785,9868,8248.94,4.08,8441.28,0.03
2018,אורנית,8807,39.50,1,79.47,27.8,417,46,13.4,605,4531,13915.11,2.41,11574.72,2.99
2018,אזור,12853,40.77,-,57.6,-,-,20.4,11,739,6164,9806.46,1.55,11630.1,2.21
2018,אילת,51935,44.93,7,62.06,22.93,1903,10.1,6.1,2628,32310,8521.74,2.65,11024.9,2.56
2018,אכסאל,14500,48.11,5,41.23,30.17,875,11.6,9.8,689,5597,6828.04,1.18,10554.27,2.78
2018,אליכין,3486,38.67,-,58.46,-,-,25.2,11.7,327,4756,12725.71,1.21,13196.9,1.11
2018,אלעד,47865,41.38,30,16.49,30.17,3500,10.2,6.5,1051,13514,6705.59,1.3,7795.3,3.26
2018,אלפי מנשה,7866,39.78,-,79.56,-,-,34.9,9.1,506,4035,12645.69,0.75,11833.27,7.58
2018,אלקנה,3812,39.85,2,86.84,25.13,377,63.5,43.4,163,1757,12224.48,1.57,15394,26.44
2018,אעבלין,13128,46.74,4,62.65,28.33,1388,11.1,15.7,510,5659,6609.76,1.28,8011.41,5.45
2018,אפרת,10088,41.90,3,81.02,26.22,603,45.8,21.3,394,4855,10800.15,2.19,12864.78,-3.65
2018,אריאל,20455,46.87,2,65.95,22.48,472,21.6,47.5,646,10180,9411.94,3.63,9233.26,5.35
2018,אשדוד,224629,38.34,54,48.11,24.94,11497,13.9,10.7,7004,104387,8808.09,2.04,9046.12,-2.1
2018,אשקלון,140967,39.09,21,60.25,24.33,5109,17.5,11.6,4962,69761,8557.93,3.04,9088.04,0.63
2018,באקה אל-גרביה,29394,47.25,6,47.87,27.11,1952,11.5,15.2,1194,12021,6983.89,3.29,8922.36,0.13
2018,באר יעקב,26123,43.97,7,53.75,22.87,1212,31.5,8.9,1207,12488,12017.03,3.05,12356.32,4.61
2018,באר שבע,209002,40.12,31,62.03,24.82,7693,19.6,15.9,5324,100890,9136.27,1.48,9575.99,1.4
