Years,שם יישוב,"סה""כ אוכלוסייה בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30
2019,רמת ישי,7785.0,7.63,12.94,18.06
2019,רעננה,75421.0,7.22,11.95,16.45
2019,שבלי - אום אל-גנם,6053.0,11.35,15.91,17.96
2019,שגב-שלום,10936.0,12.7,18.01,14.29
2019,שדרות,27635.0,5.62,17.98,20.45
2019,שוהם,21045.0,11.17,16.65,12.63
2019,שלומי,6511.0,7.82,12.9,18.4
2019,שעב,7061.0,10.69,19.18,18.89
2019,שפרעם,42137.0,10.2,17.77,18.68
2019,תל אביב -יפו,460613.0,4.23,13.93,28.48
2019,תל מונד,13144.0,10.24,12.91,15.92
2019,תל שבע,20808.0,13.31,17.45,13.83
2018,אבו גוש,7543.0,9.51,17.59,19.95
2018,אבו סנאן,13915.0,10.37,18.07,20.38
2018,אבן יהודה,13700.0,7.79,9.7,19.14
2018,אום אל-פחם,55183.0,11.65,17.84,17.96
2018,אופקים,29021.0,7.16,16.95,17.8
2018,אור יהודה,36864.0,7.13,14.16,20.45
2018,אור עקיבא,18237.0,6.2,13.53,20.64
2018,אורנית,8807.0,7.78,11.65,20.07
2018,אזור,12853.0,5.1,13.09,22.58
2018,אילת,51935.0,6.45,16.25,22.23
2018,אכסאל,14500.0,10.86,18.37,18.88
2018,אליכין,3486.0,7.92,13.88,16.87
2018,אלעד,47865.0,12.59,10.52,18.27
2018,אלפי מנשה,7866.0,8.78,11.14,19.86
2018,אלקנה,3812.0,7.03,15.87,16.95
2018,אעבלין,13128.0,10.16,17.22,19.36
2018,אפרת,10088.0,9.4,15.02,17.48
2018,אריאל,20455.0,6.11,22.91,17.85
2018,אשדוד,224629.0,7.52,13.3,17.52
2018,אשקלון,140967.0,6.1,13.15,19.84
2018,באקה אל-גרביה,29394.0,11.23,16.8,19.22
2018,באר יעקב,26123.0,6.83,10.52,26.62
2018,באר שבע,209002.0,6.43,14.31,19.38
2018,בועיינה-נוג'ידאת,9645.0,11.02,18.95,20.15
2018,בוקעאתא,6528.0,9.13,16.84,21.4
2018,ביר אל-מכסור,9317.0,10.25,17.96,18.86
2018,בית אל,6042.0,18.01,18.49,11.17
2018,בית אריה,5139.0,8.41,13.02,19.73
2018,בית ג'ן,11865.0,8.89,18.88,21.47
2018,בית דגן,7211.0,8.03,14.6,17.38
2018,בית שאן,18226.0,7.76,16.0,17.77
2018,בית שמש,118676.0,9.03,14.46,16.15
2018,ביתר עילית,56746.0,9.86,13.43,15.16
2018,בני ברק,198863.0,10.45,15.78,14.87
2018,"בני עי""ש",7017.0,6.28,13.34,16.75
2018,בנימינה-גבעת עדה*,15627.0,8.78,10.08,19.26
2018,"בסמ""ה",9779.0,11.49,18.81,17.83
2018,בסמת טבעון,7835.0,10.9,17.6,18.75
2018,בענה,8300.0,11.55,17.81,19.28
2018,בת ים,128774.0,4.89,10.81,20.7
2018,גבעת זאב,17922.0,6.32,16.09,16.99
2018,גבעת שמואל,26023.0,6.93,13.3,19.74
2018,גבעתיים,60212.0,4.55,11.16,26.67
2018,ג'דיידה-מכר,20920.0,11.71,17.38,18.71
2018,גדרה,28093.0,9.76,11.2,18.97
2018,ג'ולס,6375.0,9.55,18.43,21.15
2018,ג'לג'וליה,9983.0,11.43,17.69,16.56
2018,גן יבנה,23751.0,10.09,14.31,17.61
2018,גני תקווה,19263.0,7.08,9.39,19.79
2018,ג'סר א-זרקא,14692.0,11.52,17.4,19.44
2018,ג'ש (גוש חלב),3090.0,7.93,16.21,19.51
2018,ג'ת,11799.0,10.63,18.08,18.26
2018,דאלית אל-כרמל,17426.0,8.0,16.26,22.01
2018,דבורייה,10403.0,11.03,16.91,16.87
2018,דייר אל-אסד,12349.0,10.58,18.04,19.19
2018,דייר חנא,10259.0,9.92,18.0,19.62
2018,דימונה,34135.0,7.84,15.11,18.59
2018,הוד השרון,62325.0,6.9,10.88,20.03
2018,הר אדר,4056.0,9.54,13.14,14.74
2018,הרצלייה,95142.0,5.53,11.32,21.11
2018,זכרון יעקב,23075.0,8.91,12.55,16.21
2018,זמר,6939.0,9.84,17.58,18.6
2018,זרזיר,7942.0,10.34,18.57,19.05
2018,חדרה,95683.0,6.46,12.82,20.43
2018,חולון,194273.0,6.11,11.32,21.25
2018,חורה,21559.0,12.59,15.73,14.03
2018,חורפיש,6315.0,10.07,17.21,21.77
2018,חיפה,283640.0,5.74,13.3,19.21
2018,חצור הגלילית,9165.0,8.75,15.54,16.68
2018,חריש,7569.0,2.48,10.66,29.13
2018,טבריה,44233.0,7.35,15.36,16.65
2018,טובא-זנגרייה,6667.0,10.74,17.89,21.24
2018,טורעאן,14036.0,10.59,18.04,18.36
2018,טייבה,43128.0,10.73,16.78,17.88
2018,טירה,26163.0,9.74,17.92,19.31
2018,טירת כרמל,22209.0,5.68,13.41,22.0
2018,טמרה,33851.0,10.72,17.36,19.27
2018,יאנוח-ג'ת,6614.0,9.83,18.32,21.73
2018,יבנאל,4294.0,8.38,12.65,15.18
2018,יבנה,46705.0,5.94,12.26,22.79
2018,יהוד,29929.0,7.08,11.93,18.58
2018,יסוד המעלה,1719.0,9.19,12.8,17.1
2018,יפיע,18905.0,10.43,17.85,18.67
2018,יקנעם עילית,23311.0,8.55,11.9,19.69
2018,ירוחם,9975.0,9.51,15.73,18.04
2018,ירושלים,919438.0,9.48,16.47,16.65
2018,ירכא,17002.0,10.69,18.04,20.14
2018,כאבול,13854.0,10.74,17.34,19.5
2018,כאוכב אבו אל-היג'א,3526.0,10.24,15.88,19.51
2018,כוכב יאיר,8772.0,8.72,16.74,12.69
2018,כסיפה,21079.0,12.1,17.03,14.77
2018,כסרא-סמיע,8649.0,10.01,19.02,20.93
2018,כעביה-טבאש-חג'אג'רה,5409.0,10.67,19.39,17.56
2018,כפר ברא,3594.0,12.6,19.78,16.11
2018,כפר ורדים,5579.0,9.64,13.69,13.89
2018,כפר יאסיף,10029.0,9.1,16.82,20.51
2018,כפר יונה,23061.0,7.76,11.97,21.46
2018,כפר כמא,3332.0,7.83,17.17,20.11
2018,כפר כנא,22399.0,11.42,17.92,17.92
2018,כפר מנדא,19843.0,11.89,19.59,18.13
2018,כפר סבא,100764.0,5.88,9.89,20.79
2018,כפר קאסם,23242.0,11.4,18.59,17.91
2018,כפר קרע,18675.0,9.7,18.13,19.31
2018,כפר שמריהו,1890.0,7.41,10.58,13.44
2018,כפר תבור,4262.0,8.63,12.15,17.2
2018,כרמיאל,46124.0,7.03,12.74,18.3
2018,להבים,6350.0,9.28,15.45,14.16
2018,לוד,75726.0,7.7,13.97,18.11
2018,לקיה,13394.0,11.59,16.94,15.07
2018,מבשרת ציון,23962.0,6.92,13.9,18.17
2018,מגאר,22609.0,9.57,19.32,21.12
2018,מג'ד אל-כרום,15292.0,11.18,17.45,19.32
2018,מגדל,1941.0,6.65,14.43,16.64
2018,מגדל העמק,25636.0,8.29,13.52,17.73
2018,מג'דל שמס,11045.0,8.96,15.32,21.52
2018,מודיעין עילית,73080.0,8.97,11.96,16.16
2018,מודיעין-מכבים-רעות*,92406.0,9.47,11.11,18.53
2018,מזכרת בתיה,14680.0,8.5,11.12,19.65
2018,מזרעה,3858.0,8.55,20.79,18.07
2018,מטולה,1599.0,5.57,21.01,19.7
2018,מיתר,8438.0,8.39,12.27,17.78
2018,מסעדה,3650.0,8.85,13.75,22.44
2018,מעיליא,3254.0,8.08,13.74,18.72
2018,מעלה אדומים,38193.0,8.48,15.6,17.26
2018,מעלה אפרים,1241.0,9.02,17.57,17.32
2018,מעלה עירון,14833.0,11.84,18.51,17.78
2018,מעלות-תרשיחא,21423.0,7.32,14.25,17.84
2018,מצפה רמון,5220.0,10.75,19.69,18.03
2018,משהד,8219.0,10.83,18.79,18.76
2018,נהרייה,56880.0,6.55,12.15,18.57
2018,נחף,12845.0,11.6,18.12,19.03
2018,נס ציונה,50213.0,7.26,9.59,21.17
2018,נצרת,77063.0,9.8,17.59,18.66
2018,נצרת עילית,41169.0,6.61,13.17,18.09
2018,נשר,23982.0,5.52,13.75,20.42
2018,נתיבות,35631.0,8.04,16.13,18.13
2018,נתניה,217243.0,6.12,12.1,19.45
2018,סאג'ור,4209.0,10.0,19.84,23.12
2018,סביון*,3969.0,8.92,12.35,12.02
2018,סח'נין,31056.0,9.62,17.06,20.4
2018,ע'ג'ר,2607.0,10.28,17.53,23.44
2018,עומר,7586.0,7.92,10.9,15.94
2018,עיילבון,5703.0,8.8,16.36,21.11
2018,עילוט,8192.0,10.62,19.29,18.57
2018,עין מאהל,13130.0,12.21,18.32,17.81
2018,עין קנייא,2063.0,9.02,15.61,22.2
2018,עכו,48929.0,7.5,14.3,19.37
2018,עמנואל,3693.0,7.88,17.28,14.03
2018,עספיא,12354.0,8.61,15.44,22.23
2018,עפולה,51737.0,6.52,15.34,18.36
2018,עראבה,25369.0,11.33,17.35,18.64
2018,ערד,26451.0,6.7,15.98,15.11
2018,ערערה,24905.0,11.22,16.6,18.7
2018,ערערה-בנגב,17640.0,12.81,17.84,13.93
2018,פוריידיס,13086.0,10.3,16.78,20.47
2018,פסוטה,3148.0,7.47,16.58,21.03
2018,פקיעין (בוקייעה),5815.0,8.51,17.4,21.32
2018,פרדס חנה-כרכור,42084.0,6.35,10.55,21.75
2018,פרדסייה,5830.0,6.83,16.16,17.7
2018,פתח תקווה,244275.0,6.47,10.96,20.58
2018,צפת,35716.0,9.41,15.98,13.88
2018,קדומים,4595.0,7.46,12.95,17.41
2018,קדימה-צורן,22490.0,8.69,12.75,18.03
2018,קלנסווה,22788.0,11.34,17.51,17.88
2018,קצרין,7131.0,6.69,14.36,17.07
2018,קריית אונו,39985.0,6.37,8.99,22.4
2018,קריית ארבע,7322.0,9.96,16.58,15.58
2018,קריית אתא,58268.0,6.1,13.24,19.65
2018,קריית ביאליק,39927.0,5.44,11.46,20.5
2018,קריית גת,54972.0,6.79,15.37,17.97
2018,קריית טבעון,18121.0,7.42,11.19,16.58
2018,קריית ים,39908.0,5.02,11.55,19.36
2018,קריית יערים,5565.0,10.6,18.4,14.47
2018,קריית מוצקין,42014.0,5.42,11.08,20.27
2018,קריית מלאכי,23124.0,6.49,17.57,18.28
2018,קריית עקרון,11000.0,6.49,15.55,18.37
2018,קריית שמונה,22624.0,7.31,17.09,17.34
2018,קרני שומרון,7713.0,8.19,16.79,18.38
2018,ראמה,7651.0,8.69,17.61,19.29
2018,ראש העין,56344.0,6.72,14.33,21.68
2018,ראש פינה,3120.0,6.99,14.42,16.57
2018,ראשון לציון,251720.0,6.57,13.09,19.64
2018,רהט,69033.0,12.52,18.49,14.77
2018,רחובות,141579.0,5.87,11.38,21.27
2018,ריינה,18890.0,10.91,18.38,18.12
2018,רכסים,12110.0,11.02,16.56,14.02
2018,רמלה,75538.0,7.01,14.36,20.34
2018,רמת גן,159160.0,5.01,12.42,23.88
2018,רמת השרון,46721.0,6.61,9.29,18.87
2018,רמת ישי,7723.0,7.73,13.01,18.52
2018,רעננה,73999.0,7.2,12.04,16.69
2018,שבלי - אום אל-גנם,5995.0,11.34,15.46,18.38
2018,שגב-שלום,10362.0,12.82,17.66,14.29
2018,שדרות,26455.0,6.55,17.87,19.89
2018,שוהם,20990.0,11.09,16.45,13.06
2018,שלומי,6350.0,7.46,13.34,18.83
2018,שעב,6941.0,10.49,19.51,18.79
2018,שפרעם,41559.0,10.3,17.49,18.73
2018,תל אביב -יפו,451522.0,4.28,13.92,28.51
2018,תל מונד,12862.0,10.26,12.57,16.36
2018,תל שבע,20203.0,13.47,17.06,13.76
2017,אבו גוש,7300.0,9.74,9.81,17.66
2017,אבו סנאן,13700.0,9.23,10.49,17.66
2017,אבן יהודה,13700.0,9.7,7.95,9.9
2017,אום אל-פחם,54200.0,11.0,12.14,17.05
2017,אופקים,27800.0,8.1,7.34,17.19
2017,אור יהודה,36700.0,7.1,7.27,14.39
2017,אור עקיבא,17800.0,6.5,6.26,13.48
2017,אורנית,8700.0,10.32,8.04,11.77
2017,אזור,12700.0,6.1,5.39,13.39
2017,אילת,50700.0,6.6,6.45,16.5
2017,אכסאל,14200.0,10.83,10.9,18.16
2017,אליכין,3500.0,8.9,7.58,14.21
2017,אלעד,46900.0,17.3,11.21,9.92
2017,אלפי מנשה,7800.0,10.58,8.36,10.61
2017,אלקנה,3900.0,9.29,6.82,17.04
2017,אעבלין,13000.0,10.03,10.75,16.74
2017,אפרת,9100.0,10.99,10.33,15.68
2017,אריאל,19600.0,6.0,5.21,21.49
2017,אשדוד,222900.0,8.1,7.55,13.22
2017,אשקלון,137900.0,6.6,6.15,13.5
2017,באקה אל-גרביה,29000.0,11.1,11.28,16.33
2017,באר יעקב,22900.0,7.07,6.75,11.12
2017,באר שבע,207600.0,6.7,6.27,14.57
2017,בועיינה-נוג'ידאת,9500.0,10.35,11.5,18.42
2017,בוקעאתא,6500.0,9.58,9.67,16.5
2017,ביר אל-מכסור,9100.0,9.99,10.4,17.81
2017,בית אל,6100.0,11.42,19.11,18.05
2017,בית אריה,5000.0,10.23,8.6,12.61
2017,בית ג'ן,11700.0,8.63,9.34,18.71
2017,בית דגן,7100.0,8.92,8.2,14.71
2017,בית שאן,17700.0,8.3,7.81,15.82
2017,בית שמש,114400.0,13.2,9.03,14.24
2017,ביתר עילית,54600.0,15.5,9.68,12.85
2017,בני ברק,193800.0,10.8,10.28,16.39
2017,"בני עי""ש",7000.0,5.74,5.87,14.0
2017,בנימינה-גבעת עדה*,15600.0,11.07,8.46,10.12
2017,"בסמ""ה",9500.0,10.83,11.7,18.16
2017,בסמת טבעון,7700.0,10.12,11.05,17.49
2017,בענה,8100.0,10.38,11.97,17.23
2017,בת ים,128699.99999999999,5.3,4.93,11.09
2017,גבעת זאב,17300.0,9.32,6.26,16.43
2017,גבעת שמואל,25800.0,9.6,7.04,13.1
2017,גבעתיים,59500.0,5.5,4.53,11.12
2017,ג'דיידה-מכר,20600.0,10.02,12.14,16.61
2017,גדרה,27500.0,10.71,9.82,10.92
2017,ג'ולס,6300.0,8.27,9.45,19.21
2017,ג'לג'וליה,9800.0,11.18,11.43,17.31
2017,גן יבנה,23500.0,11.01,9.96,13.84
2017,גני תקווה,18200.0,8.63,6.56,9.61
2017,ג'סר א-זרקא,14400.0,11.65,11.35,17.27
2017,ג'ש (גוש חלב),3100.0,8.07,7.97,15.49
2017,ג'ת,11600.0,9.52,10.95,17.97
2017,דאלית אל-כרמל,17200.0,8.24,8.18,16.47
2017,דבורייה,10200.0,10.26,11.36,16.3
2017,דייר אל-אסד,12100.0,11.0,10.54,17.74
2017,דייר חנא,10100.0,9.51,10.11,17.72
2017,דימונה,33700.0,7.3,8.12,14.87
2017,הוד השרון,61100.0,8.1,6.74,11.03
2017,הר אדר,4100.0,10.28,10.3,11.98
2017,הרצלייה,94000.0,6.2,5.52,11.51
2017,זכרון יעקב,23000.0,9.66,9.6,12.4
2017,זמר,6800.0,9.56,10.18,17.13
2017,זרזיר,7800.0,10.41,10.42,18.81
2017,חדרה,94000.0,6.8,6.4,13.24
2017,חולון,192600.0,6.7,6.03,11.45
2017,חורה,20800.0,14.24,12.46,15.46
2017,חורפיש,6200.0,9.36,10.06,17.41
2017,חיפה,281100.0,5.8,5.61,13.44
2017,חצור הגלילית,9100.0,8.28,8.7,16.24
2017,חריש,3600.0,6.5,2.57,10.3
2017,טבריה,43700.0,7.4,7.39,15.13
2017,טובא-זנגרייה,6500.0,10.08,10.74,17.4
2017,טורעאן,13700.0,10.63,10.88,17.78
2017,טייבה,42400.0,11.3,10.86,16.24
2017,טירה,25700.0,9.3,10.11,17.56
2017,טירת כרמל,21300.0,6.2,5.52,13.96
2017,טמרה,33400.0,10.6,10.99,17.01
2017,יאנוח-ג'ת,6500.0,9.99,10.01,18.3
2017,יבנאל,4300.0,11.84,8.25,12.57
2017,יבנה,45500.0,6.7,5.96,12.81
2017,יהוד,29700.0,7.8,7.07,12.05
2017,יסוד המעלה,1700.0,9.55,8.66,11.79
2017,יפיע,18700.0,9.75,10.76,17.24
2017,יקנעם עילית,22700.0,9.2,8.35,11.88
2017,ירוחם,9500.0,8.8,9.16,15.3
2017,ירושלים,901300.0,10.0,9.47,16.42
2017,ירכא,16700.0,10.06,10.76,17.76
2017,כאבול,13600.0,10.46,10.81,17.17
2017,כאוכב אבו אל-היג'א,3500.0,9.86,9.98,15.24
2017,כוכב יאיר,8900.0,8.19,9.46,16.58
2017,כסיפה,20300.0,13.33,11.96,16.67
2017,כסרא-סמיע,8500.0,10.98,9.92,19.04
2017,כעביה-טבאש-חג'אג'רה,5200.0,10.66,11.09,18.69
2017,כפר ברא,3500.0,11.38,12.9,19.03
2017,כפר ורדים,5500.0,9.36,9.61,13.23
2017,כפר יאסיף,9900.0,8.75,9.24,16.52
2017,כפר יונה,22500.0,9.4,7.41,12.11
2017,כפר כמא,3300.0,7.1,8.01,16.72
2017,כפר כנא,22000.0,10.74,11.59,17.6
2017,כפר מנדא,19300.0,10.7,12.23,19.18
2017,כפר סבא,100000.0,6.7,6.11,10.1
2017,כפר קאסם,22700.0,11.0,11.64,18.26
2017,כפר קרע,18300.0,9.81,10.0,17.69
2017,כפר שמריהו,1900.0,8.55,7.43,9.83
2017,כפר תבור,4100.0,9.29,8.32,12.61
